source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,crossing_type,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm
plot_10009,plot_7070,proximity_bridge,0.0,130.889,159.685,1.9162,0,0,0,0,0,,0.0,0.0,1.9162,0.3178312390523705,0.135406
plot_10010,plot_10012,proximity_bridge,0.0,103.171,125.869,1.5104,0,0,1,0,0,,4.0,0.0,5.5104,0.2064826825431507,0.117091
plot_10010,plot_10226,proximity_bridge,0.0,102.133,124.603,1.4952,0,0,1,0,0,,4.0,0.0,5.4952,0.20685965064650602,0.117305
plot_10010,plot_11983,proximity_bridge,0.0,53.314,65.043,0.7805,0,0,1,0,0,,4.0,0.0,4.7805,0.22538375950132733,0.127809
plot_10010,plot_16192,proximity_bridge,0.0,153.649,187.452,2.2494,0,0,1,0,0,,4.0,0.0,6.2494,0.18896022574288623,0.107154
plot_10010,plot_4657,proximity_bridge,0.0,106.961,130.493,1.5659,0,0,1,0,0,,4.0,0.0,5.5659,0.20511207705983803,0.116314
plot_10010,plot_4669,proximity_bridge,0.0,115.614,141.05,1.6926,0,0,1,0,0,,4.0,0.0,5.6926,0.20201714036793633,0.114559
plot_10010,plot_9888,parcel_touch,64.204,89.637,109.358,1.3123,0,0,1,0,0,,4.0,0.0,5.3123,0.5286249911135413,0.299769
plot_10011,plot_10012,parcel_touch,49.029,87.837,107.161,1.2859,0,0,0,0,0,,0.0,0.0,1.2859,0.8570080218869381,0.218498
plot_10011,plot_10224,proximity_bridge,0.0,108.46,132.322,1.5879,0,0,0,0,0,,0.0,0.0,1.5879,0.33060243379394033,0.084289
plot_10011,plot_10225,proximity_bridge,0.0,38.059,46.432,0.5572,0,0,0,0,0,,0.0,0.0,0.5572,0.3741289586132943,0.095386
plot_10011,plot_10226,parcel_touch,10.895,64.22,78.348,0.9402,0,0,1,0,0,,4.0,0.0,4.9402,0.5527640727765827,0.14093
plot_10011,plot_10228,proximity_bridge,0.0,66.473,81.098,0.9732,0,0,0,0,0,,0.0,0.0,0.9732,0.3559109457275489,0.090741
plot_10011,plot_11983,parcel_touch,0.0,122.078,148.936,1.7872,0,0,1,0,0,,4.0,0.0,5.7872,0.49934202359311286,0.127309
plot_10011,plot_4676,proximity_bridge,0.0,129.928,158.512,1.9021,0,0,0,0,0,,0.0,0.0,1.9021,0.3183694647193558,0.08117
plot_10011,plot_4677,proximity_bridge,0.0,124.53,151.927,1.8231,0,0,0,0,0,,0.0,0.0,1.8231,0.3214019585547563,0.081943
plot_10011,plot_4868,proximity_bridge,0.0,140.076,170.893,2.0507,0,0,0,0,0,,0.0,0.0,2.0507,0.31274261848685114,0.079735
plot_10012,plot_10010,proximity_bridge,0.0,103.171,125.869,1.5104,0,0,1,0,0,,4.0,0.0,5.5104,0.2064826825431507,0.029979
plot_10012,plot_10011,parcel_touch,49.029,87.837,107.161,1.2859,0,0,0,0,0,,0.0,0.0,1.2859,0.8570080218869381,0.124429
plot_10012,plot_10223,proximity_bridge,0.0,112.65,137.433,1.6492,0,0,0,0,0,,0.0,0.0,1.6492,0.328179444969647,0.047649
plot_10012,plot_10224,parcel_touch,20.955,79.926,97.51,1.1701,0,0,0,0,0,,0.0,0.0,1.1701,0.8690001335798617,0.126171
plot_10012,plot_10225,parcel_touch,33.459,100.749,122.914,1.475,0,0,0,0,0,,0.0,0.0,1.475,0.8377797845229938,0.121638
plot_10012,plot_10226,parcel_touch,43.372,55.039,67.148,0.8058,0,0,1,0,0,,4.0,0.0,4.8058,0.5617513301787803,0.081561
plot_10012,plot_10227,parcel_touch,86.399,56.604,69.056,0.8287,0,0,0,0,0,,0.0,0.0,0.8287,0.9053406475252217,0.131447
plot_10012,plot_10228,parcel_touch,44.515,89.395,109.062,1.3087,0,0,0,0,0,,0.0,0.0,1.3087,0.8546664526664385,0.124089
plot_10012,plot_11983,parcel_touch,1.699,49.926,60.91,0.7309,0,0,1,0,0,,4.0,0.0,4.7309,0.5668231095677675,0.082297
plot_10012,plot_4624,proximity_bridge,0.0,147.355,179.773,2.1573,0,0,0,0,0,,0.0,0.0,2.1573,0.30876749401303266,0.04483
plot_10012,plot_4652,proximity_bridge,0.0,103.891,126.747,1.521,0,0,1,0,0,,4.0,0.0,5.521,0.20622020354299045,0.029941
