unit_id,t_id,global_state,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_18881,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,3.1826744836488403e-18,0.0,0.0
plot_18882,WD_AM,G7,0.0,5.8034260860748595e-31,0.0,0.0,5.547891547005812e-60,0.0,0.9999999999989999
plot_18883,WD_AM,G7,0.0,0.0,0.0,0.0,1.7663008451217592e-62,0.0,0.9999999999989999
plot_18884,WD_AM,G7,0.0,6.335455460744842e-31,0.0,0.0,7.449288869448521e-60,0.0,0.9999999999989999
plot_18885,WD_AM,G7,0.0,4.650412818659826e-31,0.0,0.0,9.846389011610271e-61,0.0,0.9999999999989999
plot_18886,WD_AM,G7,0.0,4.085996402259046e-29,0.0,0.0,3.206578451386114e-58,0.0,0.9999999999989999
plot_18887,WD_AM,G7,0.0,1.7664465956229407e-24,0.0,0.0,1.4068021558708191e-55,0.0,0.9999999999989999
plot_18888,WD_AM,G7,0.0,6.050890463699828e-32,0.0,0.0,7.251218925726133e-61,0.0,0.9999999999989999
plot_18889,WD_AM,G1,0.999999999999361,7.970149585564691e-16,0.0,0.0,2.1400329290126715e-37,0.0,0.0
plot_18890,WD_AM,G7,0.0,1.222719879408805e-24,0.0,0.0,9.24900539875097e-56,0.0,0.9999999999989999
plot_18891,WD_AM,G7,0.0,9.324986416981237e-32,0.0,0.0,8.83597762648143e-59,0.0,0.9999999999989999
plot_18892,WD_AM,G7,0.0,0.0,0.0,0.0,2.699022227319074e-61,0.0,0.9999999999989999
plot_18893,WD_AM,G1,0.9999999999993539,9.581843949803258e-23,0.0,0.0,1.4055408875092275e-41,7.868730775400007e-15,0.0
plot_18894,WD_AM,G3,0.0,8.609287923479643e-28,0.9999999999991764,0.0,3.6541034243657204e-45,1.1106595170371294e-14,0.0
plot_18895,WD_AM,G3,0.0,3.65404129001204e-25,0.9999999999991875,0.0,1.9806105403281833e-44,5.328149921950664e-17,0.0
plot_18908,WD_AM,G3,0.0,5.15481167652427e-28,0.9999999999991658,0.0,8.847946548017294e-44,2.1870523730974468e-14,0.0
plot_18909,WD_AM,G6,0.0,8.307288968164318e-22,0.0,0.0,7.36904151717087e-38,0.9999999999989999,0.0
plot_18917,WD_AM,G1,0.9999968756396842,2.1079365415361523e-20,0.0,0.0,9.654731872787302e-37,3.1243596775822105e-06,0.0
plot_18919,WD_AM,G6,0.0,3.623894839636957e-22,0.0,0.0,2.3967619524696163e-37,0.9999999999989999,0.0
plot_18940,WD_AM,G7,0.0,7.469181068767751e-16,0.0,0.0,3.365369714868914e-50,0.0,0.9999999999989992
plot_18941,WD_AM,G7,0.0,8.368142549746437e-31,0.0,0.0,4.072721322996506e-60,0.0,0.9999999999989999
plot_18942,WD_AM,G7,0.0,0.0,0.0,0.0,2.4194417733650882e-63,0.0,0.9999999999989999
plot_18943,WD_AM,G7,0.0,0.0,0.0,0.0,5.163861026814232e-27,0.0,0.9999999999989999
plot_18944,WD_AM,G7,0.0,1.6389768920535456e-30,0.0,0.0,6.58649975524975e-60,0.0,0.9999999999989999
plot_18945,WD_AM,G7,0.0,6.044456179672872e-31,0.0,0.0,3.8538678650086636e-60,0.0,0.9999999999989999
plot_18946,WD_AM,G7,0.0,2.734693724772703e-31,0.0,0.0,2.2154405982070104e-60,0.0,0.9999999999989999
plot_18948,WD_AM,G7,0.0,5.232604785596816e-33,0.0,0.0,1.5874461874947434e-60,0.0,0.9999999999989999
plot_18949,WD_AM,G7,0.0,3.127620443027705e-32,0.0,0.0,1.3608917538130118e-60,0.0,0.9999999999989999
plot_18953,WD_AM,G7,0.0,2.9332757683313836e-30,0.0,0.0,1.1711375071954155e-58,0.0,0.9999999999989999
plot_18954,WD_AM,G7,0.0,0.0,0.0,0.0,1.0871517313880288e-25,0.0,0.9999999999989999
plot_18964,WD_AM,G7,0.0,0.0,0.0,0.0,1.9162578846875118e-60,0.0,0.9999999999989999
