unit_id,t_id,func_state,p_F0,p_F1,p_F2,p_F3,p_F4,p_F5,p_F6,p_F7,p_F8,p_F9,p_F10,poi_density,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,service_accessibility
plot_10650,WD_EVE,F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031048409709968996,2.280609666461384,7.415622182023067e-05,8.54156319207273e-05,0.008937740141102485,0.002628638086896879,0.002473482080392703,0.010461114193887613,0.0011948633660692565,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10650,WD_NT,F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03662135369885773,2.280609666461384,0.00013196512926239568,8.990703067691338e-05,0.0034321386388266105,0.006886591056418906,0.0017394700158592695,0.015821749270717698,0.00143336215042084,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10650,WE_AM,F2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03588949408995822,2.280609666461384,4.5682613756915646e-05,5.8918310104791815e-05,0.01236783953720584,0.003480060703410005,0.005316949039621016,0.005588362092173992,0.0023847406735644444,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10650,WE_MD,F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03636841004253908,2.280609666461384,9.739682122162586e-05,9.570207482600601e-05,0.011978192846353984,0.00270692584529986,0.005089815721870188,0.009002503301640792,0.0012321344858268381,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10650,WE_EVE,F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031013936877918043,2.280609666461384,7.51532169638822e-05,8.631620226198893e-05,0.00878341265818373,0.0026447952742977617,0.0024461268423179422,0.01057805465581558,0.001181846268092574,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10650,WE_NT,F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.036902347789328216,2.280609666461384,0.0001358106819593373,9.38095021557138e-05,0.003123483672989103,0.006926984024921111,0.001648285888943399,0.016373040019806686,0.001413836503455816,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035071
plot_10846,WD_AM,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02045543582450122,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WD_PM,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.018741627821565576,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WD_EVE,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015981046931067045,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WD_NT,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0218071292306827,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WE_AM,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02045543582450122,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WE_MD,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01897457417345059,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WE_EVE,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.016058695715028715,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10846,WE_NT,F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02211772436652938,0.6901856760168041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,110000.0,UNKNOWN,0.8672688139453144
plot_10849,WD_AM,F3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009026503153367286,0.6931471805579453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9173685335586765
plot_10849,WD_PM,F3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008270239953918106,0.6931471805579453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9173685335586765
plot_10849,WD_EVE,F3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007052060476981047,0.6931471805579453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9173685335586765
plot_10849,WD_NT,F3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009622973690488213,0.6931471805579453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9173685335586765
