,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F0,3483,11,35,0,0,105,191,5,346,23,168
F1,11,199,0,84,0,0,0,120,28,44,14
F2,78,0,0,0,114,5,0,11,84,76,4
F3,0,84,0,2897,0,0,0,353,15,22,2
F4,0,0,56,0,3328,343,206,0,0,0,0
F5,105,0,2,0,343,145,8,0,3,0,0
F6,96,0,0,0,103,4,29,23,81,129,1
F7,5,119,4,255,0,0,47,3352,147,153,85
F8,355,29,48,40,0,3,159,172,3959,148,100
F9,15,43,40,40,0,0,256,111,92,4517,347
F10,168,14,1,2,0,0,4,86,95,363,514
