site_block_id,unit_count,block_area_m2,P_walk_total,P_walk_life_service,P_walk_public_activity,P_walk_community_living,P_walk_productive_mix,P_slow_total,P_slow_life_service,P_slow_public_activity,P_slow_community_living,P_slow_productive_mix,P_fast_total,P_fast_life_service,P_fast_public_activity,P_fast_community_living,P_fast_productive_mix,gap_life_service,gap_public_activity,gap_community_living,gap_productive_mix
block_ne,11,58758.22,0.5502184725963509,0.244517413933772,0.20156719340109472,0.07813084679856255,0.02600301846292158,0.3840473420816743,0.12412643759424376,0.12743241902410693,0.09131626275381902,0.0411722227095046,0.0657341853219748,0.01554920852173754,0.025912903085697058,0.006533879857620508,0.017738193856919684,0.12352922066027011,0.13421914371946655,0.09530102222729882,0.09168164450891349
block_nw,10,178184.65000000002,0.7021702827709816,0.3565053401835626,0.22125051747070934,0.09075690199332281,0.033657523123387,0.18462785409266433,0.06467226078762028,0.05402259245653452,0.04556039483294426,0.02037260601556525,0.11320186313635383,0.031737611550215386,0.038671589055403945,0.010555520996655078,0.03223714153407944,0.1168788788613722,0.12129970191424683,0.08768989835482123,0.08240541592973359
block_se,6,151368.73,0.509621496677461,0.1986578404910081,0.19964588879234912,0.07608195224810967,0.03523581514599419,0.4123096885180245,0.12029758915496581,0.1402412368825019,0.09595434320498963,0.0558165192755671,0.0780688148045143,0.015251990393008933,0.02938196711964498,0.007127870885070691,0.026306986406789693,0.10795316988027184,0.1255215797153407,0.08386605019176256,0.09119745894108627
block_sw,11,102209.92,0.5005024489279977,0.2162747682542159,0.1738928902096591,0.08294750978867725,0.027387280675445436,0.408221728083578,0.1311509973860559,0.12266813140464759,0.10812057965608937,0.04628201963678514,0.09127582298842443,0.020719186620052968,0.032481143980087245,0.010146556569353217,0.027928935818930984,0.11215014917534082,0.11637730149598473,0.08289461826845831,0.0766450725443315
