unit_id,network_layer,function_type,probability,gap_score,stitch_score,fit_score,compatibility_weight,raw_score
plot_11995,walk,__network_total__,0.7104893069067316,,0.6348702646504839,,,0.08538112227229405
plot_11995,walk,life_service,0.3966410885607931,0.1092360462928538,0.6348702646504839,0.6873074554930515,1.0,0.04766526526354963
plot_11995,walk,public_activity,0.21055139942980258,0.11367455549728643,0.6348702646504839,0.36905457101889544,0.95,0.025302442421809054
plot_11995,walk,community_living,0.06606589676242998,0.08172169216495663,0.6348702646504839,0.24681276679211656,0.62,0.007939289662303495
plot_11995,walk,productive_mix,0.037230922153706034,0.08087471884506443,0.6348702646504839,0.24205153154319206,0.36,0.004474124924631878
plot_11995,slow,__network_total__,0.16533249936775465,,0.15413221407723576,,,0.019868383952969654
plot_11995,slow,life_service,0.07511051408570651,0.1092360462928538,0.15413221407723576,0.6873074554930515,0.78,0.009026201977630089
plot_11995,slow,public_activity,0.04627446524896459,0.11367455549728643,0.15413221407723576,0.36905457101889544,0.86,0.005560908147524766
plot_11995,slow,community_living,0.025869859814276044,0.08172169216495663,0.15413221407723576,0.24681276679211656,1.0,0.003108840122571705
plot_11995,slow,productive_mix,0.018077660218807492,0.08087471884506443,0.15413221407723576,0.24205153154319206,0.72,0.0021724337052430936
plot_11995,fast,__network_total__,0.12417819372551382,,0.22322647992857755,,,0.01492277707625308
plot_11995,fast,life_service,0.03904958807938292,0.1092360462928538,0.22322647992857755,0.6873074554930515,0.28,0.004692678161483136
plot_11995,fast,public_activity,0.040522720583510516,0.11367455549728643,0.22322647992857755,0.36905457101889544,0.52,0.004869707858109831
plot_11995,fast,community_living,0.008242691581218852,0.08172169216495663,0.22322647992857755,0.24681276679211656,0.22,0.0009905430678652592
plot_11995,fast,productive_mix,0.036363193481401546,0.08087471884506443,0.22322647992857755,0.24205153154319206,1.0,0.004369847988794855
plot_12068,walk,__network_total__,0.7688193768864093,,0.35915396048948056,,,0.03051897432968912
plot_12068,walk,life_service,0.40862524404078165,0.11770431679706284,0.35915396048948056,0.38370526256125703,1.0,0.016220745350940983
plot_12068,walk,public_activity,0.23321424896018592,0.12208410117692906,0.35915396048948056,0.22224772270481682,0.95,0.009257648664057051
plot_12068,walk,community_living,0.08988291680209991,0.08856314513123416,0.35915396048948056,0.18092450378151245,0.62,0.0035679829528622296
plot_12068,walk,productive_mix,0.03709696708334182,0.08326003274694081,0.35915396048948056,0.13679312786323913,0.36,0.001472597361828856
plot_12068,slow,__network_total__,0.11176939240292388,,0.053593660204034915,,,0.004436786220716913
plot_12068,slow,life_service,0.04756117268218754,0.11770431679706284,0.053593660204034915,0.38370526256125703,0.78,0.0018879833831139904
plot_12068,slow,public_activity,0.03150378144814009,0.12208410117692906,0.053593660204034915,0.22224772270481682,0.86,0.0012505708443479786
plot_12068,slow,community_living,0.02163307352553746,0.08856314513123416,0.053593660204034915,0.18092450378151245,1.0,0.0008587442453283802
plot_12068,slow,productive_mix,0.011071364747058788,0.08326003274694081,0.053593660204034915,0.13679312786323913,0.72,0.00043948774792656396
plot_12068,fast,__network_total__,0.11941123071066694,,0.11375557069223166,,,0.0047401358424319015
plot_12068,fast,life_service,0.03623891930940421,0.11770431679706284,0.11375557069223166,0.38370526256125703,0.28,0.0014385363862945235
plot_12068,fast,public_activity,0.0404321497897664,0.12208410117692906,0.11375557069223166,0.22224772270481682,0.52,0.0016049904289942708
plot_12068,fast,community_living,0.010101832481272378,0.08856314513123416,0.11375557069223166,0.18092450378151245,0.22,0.00040100129555439325
plot_12068,fast,productive_mix,0.03263832913022395,0.08326003274694081,0.11375557069223166,0.13679312786323913,1.0,0.0012956077315887141
plot_8231,walk,__network_total__,0.7276744113384394,,0.46653687964568535,,,0.04205260865511676
plot_8231,walk,life_service,0.35902091449221063,0.11271169467719892,0.46653687964568535,0.39456687954141567,1.0,0.02074796884553515
plot_8231,walk,public_activity,0.24085660360937716,0.11640722592821592,0.46653687964568535,0.26978939294195237,0.95,0.013919203885369158
plot_8231,walk,community_living,0.10847213061743954,0.08381831777632416,0.46653687964568535,0.2585576541886151,0.62,0.006268649807888237
plot_8231,walk,productive_mix,0.01932476261941212,0.07919987511660964,0.46653687964568535,0.0839570225471282,0.36,0.0011167861163242177
plot_8231,slow,__network_total__,0.18874560278895997,,0.12373095597136975,,,0.010907687347228507
plot_8231,slow,life_service,0.07426885689745923,0.11271169467719892,0.12373095597136975,0.39456687954141567,0.78,0.004292028310610926
