unit_id,morph_state,p_M1,p_M2,p_M3,p_M4,p_M5,p_M6,p_M7,building_coverage,avg_height,road_density,green_blue_ratio,heritage_ratio,barrier_index,permeability_index,edge_conductance_mean
plot_10648,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999998357714,9.710178617049076e-18,0.0,7.605662952774906e-11,8.737396538779503e-11,7.984433864387916e-13,0.0,0.3594735933485716,12.641498471758212,0.0,0.0,0.999999999997018,0.0,0.2322268627120202,0.4920152088044893
plot_10810,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999398603948,2.5274308542675653e-10,0.0,4.1908590839190276e-10,5.946652343613749e-08,1.2534988382272069e-12,0.0,0.2966036050974253,16.71741537389122,0.0,0.0,1.0,0.0,0.2617059819099678,0.5554979459110395
plot_10650,M1 风貌占比高·覆盖中高·渗透偏高,0.99999988330499,1.1542629942899129e-07,0.0,1.2650436654614014e-09,1.5526763903666257e-12,2.114201814917741e-12,0.0,0.384479071405042,16.076714275287834,0.0,0.0,1.0,0.0,0.3344912134547911,0.7153652397760791
plot_10846,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999999003356,5.510727153836552e-20,0.0,9.952868193325471e-11,4.660554030000527e-28,1.359365423539526e-13,0.0,0.6031241548420718,11.347918102465073,0.0,0.0,1.0000000000000004,0.0,0.2524293649624973,0.5368332184351792
plot_10849,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999999666008,4.9972651870513335e-20,0.0,3.322022989948869e-11,5.969675457239961e-18,1.7857309148173642e-13,0.0,0.5290006415901592,25.638418679148447,0.0,0.0,1.0000000000000002,0.0,0.2677475498725523,0.5717331886056718
plot_10847,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999999994832,6.687995725369987e-20,0.0,2.365229596155958e-13,3.893654848317417e-15,2.7630681849023953e-13,0.0,0.5018868791694944,22.96209966638548,0.0,0.0,1.0,0.0,0.2651717922740799,0.5624727883868443
plot_10605,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999999996954,1.0498191862928232e-20,0.0,1.7200416154369675e-14,3.0536226164889657e-25,2.877444159087379e-13,0.0,0.6117748536895938,12.904366333135677,0.0,0.0,1.0,0.0,0.2084823361900446,0.4369176835969246
plot_10646,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999998376978,6.28268016988479e-11,0.0,9.920146732270247e-11,4.104206531665121e-23,2.744906921087659e-13,0.0,0.5757309624198167,18.16533858784785,0.0,0.0,0.9999999999999998,0.0,0.2543619014671761,0.5398694477048359
plot_10604,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999988579996,5.725187012570077e-10,0.0,5.692784483103151e-10,6.8605484360665756e-15,1.959451013421218e-13,0.0,0.4652229661647907,20.676870079038995,0.0,0.0,0.9999999999999998,0.0,0.2777881652231406,0.5936983267584942
plot_10552,M1 风貌占比高·覆盖中高·渗透偏高,0.99999999118599,1.3067100366420638e-10,0.0,7.919398605831842e-12,8.675103135627635e-09,3.1676724745827295e-13,0.0,0.3045829195204173,13.503715801039126,0.0,0.0,1.0,0.0,0.272013055716002,0.5820891238133378
plot_10499,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999974730852,2.592958211010501e-10,0.0,2.2671272878265035e-09,1.8429041243763923e-14,4.733892337562898e-13,0.0,0.5157817343928254,32.21013136893999,0.0,0.0,1.0000000000000002,2.2222222222222223,0.2333507188380377,0.4933673875413183
plot_10500,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999589878508,2.3345619627554918e-11,0.0,4.098831187186776e-08,1.898144179615578e-50,4.913880885196599e-13,0.0,0.514108257583668,19.209625689992848,0.0144161540895266,0.0,1.0000000000000002,0.0,0.2558472599878337,0.5328484825946899
