unit_id,t_id,mob_state,p_R1,p_R2,p_R3,p_R4,p_R5,p_R6,p_R7,road_centrality,population_density,traffic_intensity,congestion_proxy,bottleneck_index,func_state,p_F1,p_F2,p_F3,p_F4,p_F5,p_F6,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,ai_interface_vitality,landuse_mix,service_accessibility,station_proximity,p_F7,morph_state,p_M1,p_M2,p_M3,p_M4,p_M5,p_M6,p_M7,barrier_index,accessibility_index,poi_density,stay_proxy,green_blue_ratio,building_coverage,edge_conductance_mean,dist_to_station,site_z_iface_residential,site_z_stack_barrier,site_z_expanse_disused
plot_100,WD_AM,2,4.7678641235447016e-08,0.9999987563996738,2.271609316128641e-12,2.006618475978985e-23,0.0,1.195919413547867e-06,0.0,0.3727418158267332,349.2984975179037,14731.83422921184,5491.170641054844,0.2827417258267332,F6,0.0,0.0,0.0,0.0,0.0,1.0,1.3127337062722595,0.0003129593741,0.0,0.0,0.0052133701624423,0.0,0.0,0.005839159184279,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.9290514182268572,0.0569845557281197,0.0,M3 建成主体·路网稀·风貌无,0.0,6.895480652692517e-11,0.9999998340164492,2.320967706621152e-08,1.4270483567970772e-07,8.336994678790931e-14,0.0,0.0,0.3749330048194534,0.0210741617193726,0.0,0.0,0.2382053584482947,0.5498658096389069,2291.98,2.765799728960423e-20,4.0484206196775303e-44,4.033997917098397e-31
plot_10006,WD_AM,2,1.1170571097479876e-07,0.9999863455817348,1.0849059324455882e-11,1.9168917362901224e-22,0.0,1.3542701704687247e-05,0.0,0.4951715004014912,1206.5679931640625,19199.79951508876,9507.193533294325,0.3666000718300626,F1,1.0,0.0,0.0,0.0,0.0,0.0,2.2886267489111285,0.007480588908949,0.0019803553209008,0.0004300387453048,0.0034592085752541,0.0138751869160436,0.0,0.0,0.0,0.0,1.9666666666666663,0.0,UNKNOWN,0.0,0.0,0.928657689925153,0.0228033003797434,0.0,M4 路网密·覆盖中高·风貌低,0.0,2.064902615584776e-05,0.0,0.9999793505503568,1.1526113682260238e-32,4.234872855264721e-10,0.0,0.0,0.387848090280161,0.039219695480474,0.0,0.0,0.5920194650524992,0.4899818948460362,3024.68,1.566040433859312e-24,2.9899375964766827e-11,1.3932368869134908e-19
plot_10007,WD_AM,7,3.1598475580334357e-27,0.0,3.298915933783875e-58,1.1295617359399445e-20,0.0,9.181076722675759e-57,1.0,0.4269991599200214,1283.9031982421875,0.0,0.0,0.7503324932533547,F6,0.0,0.0,0.0,0.0,0.0,1.0,1.0100997593511636,0.0018977025640033,0.0,0.0,0.0027893375898318,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,UNKNOWN,0.0,0.0,0.9142702793855284,0.0215447093149753,0.0,M3 建成主体·路网稀·风貌无,0.0,1.367823592984744e-10,0.9999998956975296,1.041656701523577e-07,1.3159917592955804e-30,1.793093329041871e-14,0.0,1.1833333333333331,0.3288866809637291,0.0105741217264517,0.0,0.0,0.6600795613924413,0.5911066952607914,3070.1,1.3236055363568447e-25,2.40966821198976e-12,1.0721544119470005e-20
plot_10008,WD_AM,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.427048497897233,1268.873291015625,10010.186984942762,36122.35841673752,3.2784770693258043,F2,0.0,1.0,0.0,0.0,0.0,0.0,2.6782644957678885,0.0157741937595804,0.002812974719897,0.0180935118375015,0.013063326311242,0.0135305441778562,0.0017470119887956,0.0099840710663007,0.0,20097.942000006948,3.8,0.0,UNKNOWN,0.0,0.0,0.9544479042249804,0.0288949771502012,0.0,M5 覆盖低·建筑高·阻隔高,0.0,4.616129712500289e-06,2.1251411302544964e-05,2.55036364406696e-12,0.999974117703612,1.4752822675935893e-08,0.0,7.449999999999999,-0.5474801999904333,0.0935547196458427,10990.09561572598,0.0,0.0318667631459202,0.2193253143048479,2835.27,3.437535354939927e-21,6.654054136631424e-13,1.0734883525462386e-18
plot_10009,WD_AM,7,1.0731182386957584e-26,0.0,9.58228986693584e-59,3.2530662602232427e-21,0.0,4.0593421990760655e-60,1.0,0.4307675241927005,349.2984975179037,0.0,0.0,1.153624409906986,F1,1.0,0.0,0.0,0.0,0.0,0.0,1.85308599434011,0.0074873263547092,0.021885496514251,0.0045604666174258,0.0136255409030778,0.0,0.0,0.0,0.0,0.0,3.5625,0.0,UNKNOWN,0.0,0.0,0.959619658664421,0.0277508863155678,0.0,M3 建成主体·路网稀·风貌无,0.0,1.8235290778257767e-09,0.9999999754327472,2.2743545688708324e-08,2.779138814291316e-33,1.779194287863351e-13,0.0,2.128571428571429,0.081946854358763,0.0663618803159127,0.0,0.0,0.6645392435234732,0.3353217087175261,2867.59,1.4054525350790947e-21,1.238094021791099e-11,2.924663125027069e-18
plot_10010,WD_AM,3,0.0044636333399433,0.0,0.9955363666600568,1.884678165930165e-17,0.0,3.371730135488944e-25,0.0,0.3541260645815389,389.6032104492188,3029.096547538343,5363.410198086399,1.8255545074386816,F6,0.0,0.0,0.0,0.0,0.0,1.0,1.0511359509438367,0.0002100450145639,0.0,0.0013134827011324,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.7859333476176391,0.1323771809041077,0.0,M3 建成主体·路网稀·风貌无,0.0,2.8379187999206267e-09,0.9999995242490676,4.729128390408305e-07,7.654627791323469e-14,9.873523264752897e-14,0.0,4.0,-0.5311826766446296,0.0023199336048937,0.0,0.0,0.4364804241740334,0.2519200752821694,1617.68,7.833444895596763e-29,1.3044663273053711e-67,3.361181834636798e-45
plot_10011,WD_AM,6,7.088926383142718e-05,0.0,5.688266750848966e-05,8.141562372496261e-20,0.0,0.9998722280686608,0.0,0.3363268918943031,349.2984975179037,7403.890402927555,4703.574066825071,0.5918823474498587,F3,0.0,0.0,1.0,0.0,0.0,0.0,0.6730116670072565,0.0,0.0,0.022708183838629,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.7986293019512951,0.1345727949441287,0.0,M3 建成主体·路网稀·风貌无,0.0,1.7462801187195478e-12,0.9999999602970868,3.9701075455762455e-08,4.32193875678487e-30,9.10675268049443e-14,0.0,0.8888888888888888,0.1512373610084656,0.0277149788761048,0.0,0.0,0.6702796106455599,0.4358078331280423,1604.52,5.802905978999219e-29,4.169104656004345e-64,3.722065634038595e-44
plot_10012,WD_AM,7,4.477085482874304e-27,0.0,1.911525389253803e-57,2.193351252015766e-21,0.0,3.1711907859101965e-60,1.0,0.3541260645815389,330.6351928710937,0.0,0.0,1.0233568338123082,F6,0.0,0.0,0.0,0.0,0.0,1.0,1.6888249963710136,0.0,0.0005142921507428,0.0004715366456308,0.0019868176204095,0.0,0.0001172951466199,0.0040122943081832,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.8876792064425801,0.1420625962288194,0.0,M3 建成主体·路网稀·风貌无,0.0,1.3659025250224335e-09,0.999999753376596,7.639084594156519e-08,1.6886660669341137e-07,4.903577673556042e-14,0.0,1.8461538461538465,-0.0274037949718661,0.0189197460660218,0.0,0.0,0.2334327919257656,0.5298077946716524,1561.19,2.3668549649352895e-27,3.7437837751403378e-62,1.5097042686749783e-42
plot_10031,WD_AM,6,2.132966194723977e-05,0.0,1.149482604942484e-06,3.451718199342696e-19,0.0,0.9999775208554476,0.0,0.2998358550601985,1100.6611328125,4597.931597315464,2627.0460551797755,0.5620579772824207,F6,0.0,0.0,0.0,0.0,0.0,1.0,0.9732531211291692,0.0,0.0002404968129143,0.0,0.0,0.0,0.0008227553801381,0.0,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.839146440770668,0.0448021119021183,0.0,M3 建成主体·路网稀·风貌无,0.0,7.24015860542962e-10,0.999998091983048,5.171257648183993e-08,1.8555802250631387e-06,1.3490993514380585e-13,0.0,0.9055555555555556,0.2827500552485825,0.0019991383522953,0.0,0.0,0.2104478648395119,0.5210554438304984,2484.4,1.0078477110639686e-63,4.673190418701362e-156,5.7367156488689115e-93
plot_10032,WD_AM,2,1.0460791081462242e-06,0.9999989446290724,9.74658884859102e-17,5.846124983014494e-22,0.0,9.291818541054456e-09,0.0,0.3354179132271901,397.32177734375,9107.94817109325,3054.968969329501,0.1554179132271901,F6,0.0,0.0,0.0,0.0,0.0,1.0,1.6793741044953951,0.0,0.0,0.0,0.0,0.0014387673546303,0.0006228527569685,0.0045655315616232,0.0,0.0,3.5,0.0,UNKNOWN,0.0,0.0,0.8373153839844798,0.1273886664706814,0.0,M5 覆盖低·建筑高·阻隔高,0.0,8.379578177985744e-05,0.0008122768063742,0.0002691460602546,0.9988347515492944,2.9802296771295992e-08,0.0,0.0,0.505133673570529,0.0077881332677763,0.0,0.0,0.1704481217448642,0.6102673471410579,1648.41,9.808079579679002e-28,3.6728457523717264e-71,1.2146916186640166e-45
