step,north_mean_price,south_mean_price,north_to_south_ratio
0,55221.40925490196,109512.68546255508,0.5042466908893714
1,60626.659230344834,109370.38033032184,0.5543242973759386
2,63039.371233996,109402.33029176315,0.5762159824738413
3,64482.564534185054,109437.68102329815,0.589217204999596
4,65483.647410562044,109450.8267689646,0.5982928529977107
5,66241.55368376606,109440.07056547307,0.6052769642919476
6,66849.01682482209,109408.87463215269,0.6110017770457602
7,67355.48097497135,109361.40820432712,0.6158980766700322
8,67789.94784411497,109301.3825588074,0.6202112567756585
