unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_100,2,0.06958802781159851,1,0.0,0.9304119721882509,0.0,0.0,0.06958802781174912,3.8879659215334006e-24,0.0
plot_10006,2,0.4086675920702583,1,0.0027314054522398347,0.5913324079293435,0.14042102079145455,0.0,0.05368509370977046,0.0007533977254054209,0.21107667439178637
plot_10007,2,0.5745322276276179,2,0.0,0.3319676107301085,0.42546777237238204,0.0,0.013528770328236767,4.3405791329616427e-17,0.22903584656927278
plot_10008,2,0.45249079577249307,6,0.07238904972492058,0.02753729013140312,0.1759968038713985,0.0,0.1722872396587743,0.004280412385996647,0.5475092042275069
plot_10009,2,0.5867255284774493,2,0.007000346709673478,0.08051417202052258,0.41327447152255076,0.0,0.2090605028581936,0.0064147877541405884,0.283735719134919
plot_10010,2,0.33374578225767015,6,4.175634056755849e-15,0.0005097913552797129,0.3179910314237593,0.0,0.015244959478626955,5.970057959318715e-25,0.6662542177423298
plot_10011,2,0.45411515629669374,4,0.0,0.10160144103050495,0.2102505614754782,0.0,0.5458848437033063,4.8588850320219205e-24,0.14226315379071064
plot_10012,2,0.4050070495479716,2,3.673034467975892e-16,0.03850700816257394,0.5949929504520284,0.0,0.24307763691038536,2.234532446792887e-25,0.12342240447501196
plot_10031,2,0.50579203945145,4,0.0,0.2984280518371139,0.15917285923743302,0.006617681040098751,0.49420796054855,3.5074822463511276e-25,0.04157344733680436
plot_10032,2,0.5215456629416437,1,0.010276767316529493,0.4784543370421195,0.13486572475624362,0.0,0.35948644753575193,2.4090394620651194e-21,0.016916723349355425
plot_10046,2,0.5913688745496692,5,0.0019316639404291236,0.3646851735809889,0.005743710185754021,0.0010531198474790875,0.20442780147143202,0.4086311254503307,0.013527405523586184
plot_10047,2,0.30715348265977116,1,0.0007540224822268926,0.6928155635979101,0.007125911403744116,0.0006506646274906502,0.18974193199907538,0.10073130595215742,0.008180599937395606
plot_10048,2,0.5107224494152691,4,0.0,0.3726819259860544,0.0,0.05732240062134372,0.4892775505847308,0.008378514534900128,0.07233960827297096
plot_10063,2,0.24618252421200135,1,0.00046861545002397606,0.7538174757879128,0.002656988543689337,0.13656320229247468,0.08858743558654576,1.1666275094343931e-24,0.017906282339353433
plot_10064,2,0.22648533399372572,1,0.004643177250147166,0.7735146660057067,0.004017153006150579,0.13386383369188284,0.012000658141908378,1.343505925422523e-26,0.07196051190420431
plot_10065,2,0.4373238182084883,4,0.002441290278701195,0.223798953249233,0.07621416682787652,0.0,0.5626761817915117,0.01052321358919421,0.12434619426348342
plot_10066,2,0.41043559624304515,4,0.0029105792015259877,0.22718738893100904,0.05300054270222064,0.0,0.5895644037569548,0.07983726965909427,0.04749981574919526
plot_10067,2,0.56476766878704,6,0.0033420680341039737,0.3990458849648786,0.15874981148558553,0.0,0.003629904298152662,4.319203508075927e-12,0.4352323312129601
plot_10068,2,0.40812322196862905,1,0.0,0.591876778031371,0.19391695069072012,0.0,0.01502603336590609,6.864652031920666e-27,0.19918023791200284
plot_10074,2,0.4982210543824666,4,0.0049156002250022495,0.3139116729600463,0.17435239179429107,0.001563495122794798,0.5017789456175334,3.161085573885995e-14,0.00347789428030062
plot_10080,2,0.010333464603256685,5,0.010333464603256622,0.0,0.0,0.0,6.614178572619081e-17,0.9896665353967433,1.452896436879004e-242
plot_10081,2,0.582711986918565,6,0.1592505744286838,0.2201671767283627,0.02503310505208605,0.00105188613521527,0.1772092445731931,1.0240959916422658e-12,0.41728801308143504
plot_10082,2,0.5468313006305348,4,0.06251288817926387,0.18680473820777183,0.14961947777320583,0.0,0.45316869936946524,4.020029390590302e-13,0.14789419646989121
plot_10083,2,0.4542371509110762,1,0.10758452895302574,0.5457628490879503,0.08895305861986386,0.0,0.138807487367303,6.918460778601653e-13,0.11889207597116536
plot_10086,2,0.34018424335722447,0,0.6598157566427756,0.0,0.08154018478287303,0.0,0.029915620721321395,0.09357997678668316,0.13514846106634693
plot_10087,2,0.3663146674131691,0,0.6336853325868309,0.0,0.21033611909233296,0.0,0.0049098086345905146,1.842139237373019e-09,0.15106873784410638
plot_10088,2,0.015204398497340343,0,0.9847956015026597,0.0,0.0059754386618947886,0.0,0.0,0.009228959835445557,2.491976309752071e-240
plot_10094,2,0.1251662474985207,0,0.8748337525014793,0.0,0.0,0.0,0.10555390753531736,0.019612339963203367,1.1946155568201145e-235
plot_10095,2,0.512530585165362,2,0.0,0.12911983704838703,0.487469414834638,0.10719603880794519,0.2434816087633468,3.9919715595995943e-20,0.032733100545683055
plot_10096,2,0.2857780797037506,4,0.00655655635471313,0.10899274008068757,0.1322339582966699,0.03622724115469034,0.7142219202962494,3.660145670185853e-20,0.0017675838169897004
plot_10097,2,0.5878520857302509,1,0.0,0.4121479142694159,0.20716267155851512,0.058055267513260664,0.31861007179386136,4.725949672854426e-20,0.004024074864947006
plot_10098,2,0.5953816210978828,3,0.0,0.07480032411176121,0.15488581907440085,0.40461837890211716,0.3308435327092568,4.4501924167140814e-20,0.03485194520246398
plot_10099,2,0.37920926261768145,4,0.0,0.10936614946908069,0.12820397882571155,0.11629780641691205,0.6207907373823186,4.6111050068211024e-20,0.02534132790597717
plot_101,2,0.1030385164598761,1,0.0,0.8969614835399546,0.0,0.0,0.10303851646004539,1.2465345175961605e-20,0.0
plot_10100,2,0.39031378374905956,4,0.0,0.2370814475389145,0.10122023782122411,0.03630563025804015,0.6096862162509404,3.242138146597309e-20,0.015706468130880877
plot_10109,2,0.26944377422892246,1,0.004401627215653109,0.7305562257710436,0.10019708152797584,0.0005438143496902313,0.16263113520075775,2.8305639457525284e-14,0.0016701159348511776
plot_10110,2,0.2557640985059813,1,0.0,0.74423590149348,0.021142214723911888,0.0024435950836052857,0.23192864530641497,3.5310942157348386e-20,0.000249643392587903
plot_10111,2,0.2997270209183027,4,0.008251227435053377,0.18319722869533106,0.10501018427321587,0.003268380514702437,0.7002729790816973,3.7521682652235524e-20,8.227820383495199e-87
plot_10112,2,0.5886974667291832,2,0.1650327727776712,0.01934047298420472,0.4113025332708168,0.0018192504517850242,0.3875656174687876,0.008771015353831221,0.006168337692903534
