step,mean_tv_vs_baseline
0,0.0
1,0.18849939109215444
2,0.29736625066540523
3,0.3639627290209688
4,0.40719733460057506
5,0.4369718611074219
6,0.4586472938196728
7,0.47522608584198345
8,0.48844939753739264
