unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_100,1,0.045225177969617364,1,0.0,0.954774822030232,0.0,0.0,0.04522517796976798,2.526784509843312e-24,0.0
plot_10006,1,0.27247105261148685,1,0.0,0.7275289473881149,0.09388720853497579,0.0,0.034338543168190835,6.957799215755244e-27,0.1442453009087185
plot_10007,1,0.38,2,0.0,0.2281228499259961,0.62,0.0,3.8443553344908784e-14,1.2154419602119754e-27,0.15187715007396554
plot_10008,1,0.2882007044038064,6,0.053701836593083224,0.0,0.1258079464107504,0.0,0.10869092139997284,1.5842306864202307e-25,0.7117992955961936
plot_10009,1,0.38,2,0.0,0.04169705286404654,0.62,0.0,0.13870975696045465,1.9964297668586486e-25,0.1995931901754988
plot_10010,1,0.2049776497343525,6,0.0,0.0,0.20497764973435253,0.0,1.079474182199381e-37,7.6512985379924095e-25,0.7950223502656475
plot_10011,1,0.2851742047977387,4,0.0,0.058630184154209876,0.1283915984521357,0.0,0.7148257952022613,6.034713001739086e-25,0.09815242219139306
plot_10012,1,0.2526296002819766,2,0.0,0.01688243619201806,0.7473703997180234,0.0,0.16108325575388976,1.3433456357719293e-25,0.0746639083360688
plot_10031,1,0.3243834130899249,4,0.0,0.1970892455636297,0.10087409921754102,0.0,0.6756165869100751,4.091914880384051e-25,0.026420068308754197
plot_10032,1,0.3376511487801285,1,0.0,0.6623488512036347,0.09541006332902725,0.0,0.24224108546733789,1.5973584971037489e-21,9.493290330386779e-103
plot_10046,1,0.37999999999999967,5,0.0,0.24613149622401106,0.0,0.0,0.1338685037759886,0.6200000000000003,7.80199864083318e-102
plot_10047,1,0.19426064991734499,1,0.0,0.8057083963403361,0.0,0.0,0.12131471710064928,0.07297688655901455,3.0520761930763597e-102
plot_10048,1,0.3358962931396674,4,0.0,0.24841488614925242,0.0,0.03802467461284283,0.6641037068603326,3.020215208489289e-23,0.04945673237757212
plot_10063,1,0.15921610123601018,1,0.0,0.840783898763904,0.0,0.09642547465693109,0.06279062657916494,1.3163454444070488e-26,1.087384352214046e-104
plot_10064,1,0.1330709159290209,1,0.0,0.8669290840704116,0.0,0.08915726947162605,6.0739513418675855e-12,2.8726751599558624e-27,0.0439136464518885
