step,site_barrier_mean,outside_barrier_mean,barrier_drop_vs_base_site_pct
0,2.448672262922263,1.492814472923588,0.0
1,2.430307220950346,1.4752968691301034,-0.7499999996937043
2,2.4119421789784288,1.4642704396515693,-1.499999999387427
3,2.3935771370065115,1.4570727443498632,-2.2499999990811492
4,2.3752120950345947,1.4522081840884826,-2.999999998774854
5,2.356847053062678,1.4488098014669089,-3.7499999984685584
6,2.338482011090761,1.4463595793307553,-4.499999998162263
7,2.320116969118844,1.4445389529848203,-5.249999997855985
8,2.301751927146927,1.4431466187488433,-5.99999999754969
