unit_id,walk_length_km_per_km2,slow_road_length_km_per_km2,fast_road_length_km_per_km2,all_road_length_km_per_km2,walk_length_share,slow_road_length_share,fast_road_length_share
plot_10648,27.22472833697176,27.22472833697176,0.0,54.44945667394352,0.5,0.5,0.0
plot_10810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10650,1.2324263514715648,1.2324263514715648,0.0,2.4648527029431295,0.5,0.5,0.0
plot_10846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10499,15.036724047335612,15.036724047335612,0.0,30.073448094671225,0.5,0.5,0.0
plot_10500,11.66235567687884,11.66235567687884,0.0,23.32471135375768,0.5,0.5,0.0
plot_10549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_19877,10.495945915478304,10.495945915478304,0.0,20.991891830956607,0.5,0.5,0.0
plot_11486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10550,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_12551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_12550,4.483128908748933,0.0,0.0,4.483128908748933,1.0,0.0,0.0
plot_10428,59.65276242531786,59.65276242531786,0.0,119.30552485063572,0.5,0.5,0.0
plot_16668,71.9733638712284,10.482863247389211,0.0,82.45622711861762,0.8728675369501315,0.12713246304986842,0.0
plot_10391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_10937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_9005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11131,15.5779555012532,9.474326227694535,0.0,25.052281728947733,0.621817831597071,0.37818216840292906,0.0
plot_11074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11099,35.1820278219741,2.513968928572039,0.0,37.69599675054614,0.9333093923684186,0.06669060763158137,0.0
plot_11098,51.990403245061444,0.0,0.0,51.990403245061444,1.0,0.0,0.0
plot_11216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_17486,18.232608407955343,18.232608407955343,0.0,36.465216815910686,0.5,0.5,0.0
plot_11221,18.192750698364534,18.192750698364534,0.0,36.38550139672907,0.5,0.5,0.0
plot_11498,15.239879577773355,15.239879577773355,0.0,30.47975915554671,0.5,0.5,0.0
plot_9763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_17664,1.3084349256502876,1.3084349256502876,0.0,2.6168698513005753,0.5,0.5,0.0
plot_9764,8.424294228800957,8.424294228800957,0.0,16.848588457601913,0.5,0.5,0.0
plot_11496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_17739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_11758,15.167327404158385,15.167327404158385,0.0,30.33465480831677,0.5,0.5,0.0
plot_18339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_19532,12.893754242789244,12.893754242789244,0.0,25.78750848557849,0.5,0.5,0.0
plot_16291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_18402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_18875,19.165743476546922,19.165743476546922,0.0,38.331486953093844,0.5,0.5,0.0
plot_18403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_7631,16.623200884985547,16.623200884985547,0.0,33.246401769971094,0.5,0.5,0.0
plot_9006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_7630,6.945087580941257,6.945087580941257,0.0,13.890175161882514,0.5,0.5,0.0
plot_7629,15.322515488672861,15.322515488672861,0.0,30.645030977345723,0.5,0.5,0.0
plot_7518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_7517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_7628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_8980,102.55519186938237,0.0,0.0,102.55519186938237,1.0,0.0,0.0
plot_16709,30.6399262717014,30.6399262717014,0.0,61.2798525434028,0.5,0.5,0.0
plot_11915,12.13324654663842,12.13324654663842,0.0,24.26649309327684,0.5,0.5,0.0
plot_9757,44.23721926121386,44.23721926121386,0.0,88.47443852242772,0.5,0.5,0.0
plot_9766,66.12458431031253,66.12458431031253,0.0,132.24916862062506,0.5,0.5,0.0
plot_11033,24.73312297484332,24.73312297484332,0.0,49.46624594968664,0.5,0.5,0.0
plot_11032,13.067881586429133,13.067881586429133,0.0,26.135763172858265,0.5,0.5,0.0
plot_11222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot_9819,44.51939126895336,44.51939126895336,0.0,89.03878253790673,0.5,0.5,0.0
plot_9767,46.90311030426782,46.90311030426782,0.0,93.80622060853564,0.5,0.5,0.0
plot_9765,122.88584091587934,122.88584091587934,0.0,245.77168183175868,0.5,0.5,0.0
