unit_id,building_coverage,avg_height,road_density,green_blue_ratio,heritage_ratio,barrier_index,permeability_index,edge_conductance_mean
plot_10648,0.3594735933485716,12.641498471758212,0.0,0.0,0.999999999997018,0.0,0.2322268627120202,0.4920152088044893
plot_10810,0.2966036050974253,16.71741537389122,0.0,0.0,1.0,0.0,0.2617059819099678,0.5554979459110395
plot_10650,0.384479071405042,16.076714275287834,0.0,0.0,1.0,0.0,0.3344912134547911,0.7153652397760791
plot_10846,0.6031241548420718,11.347918102465073,0.0,0.0,1.0000000000000004,0.0,0.2524293649624973,0.5368332184351792
plot_10849,0.5290006415901592,25.638418679148447,0.0,0.0,1.0000000000000002,0.0,0.2677475498725523,0.5717331886056718
plot_10847,0.5018868791694944,22.96209966638548,0.0,0.0,1.0,0.0,0.2651717922740799,0.5624727883868443
plot_10605,0.6117748536895938,12.904366333135677,0.0,0.0,1.0,0.0,0.2084823361900446,0.4369176835969246
plot_10646,0.5757309624198167,18.16533858784785,0.0,0.0,0.9999999999999998,0.0,0.2543619014671761,0.5398694477048359
plot_10604,0.4652229661647907,20.676870079038995,0.0,0.0,0.9999999999999998,0.0,0.2777881652231406,0.5936983267584942
plot_10552,0.3045829195204173,13.503715801039126,0.0,0.0,1.0,0.0,0.272013055716002,0.5820891238133378
plot_10499,0.5157817343928254,32.21013136893999,0.0,0.0,1.0000000000000002,2.2222222222222223,0.2333507188380377,0.4933673875413183
plot_10500,0.514108257583668,19.209625689992848,0.0144161540895266,0.0,1.0000000000000002,0.0,0.2558472599878337,0.5328484825946899
plot_10549,0.5163553924452409,16.471787333184665,0.0081550070241199,0.0,1.0,0.0,0.2525447952100773,0.5315913542628932
plot_19877,0.604327219727791,21.39514513435051,0.0,0.0,1.0,0.8333333333333334,0.2806110356856734,0.5996499867089038
plot_11486,0.3918227043674079,20.29403299984504,0.0,0.0,0.9999999999999998,0.0,0.2312527959000147,0.4897878936666994
plot_10346,0.2579327056221901,28.46920509487264,0.0,0.0,0.9999999999999998,0.0,0.2577191065204954,0.5495109033788788
plot_10551,0.5107588329566444,17.667760417764924,0.0,0.0,1.0,0.0,0.2645656255275287,0.5641977233945082
plot_11760,0.4800873305213609,16.41148931899813,0.0,0.0,1.0,0.0,0.2509687850938736,0.5331950779863859
plot_10938,0.3384513296330658,28.10137745706768,0.0,0.0,1.0000000000000002,0.6666666666666666,0.2943123096762632,0.625618762243548
plot_10550,0.531213804000287,17.195129059444017,0.0,0.0,1.0,0.0,0.2255088138155164,0.4769503362567031
plot_10384,0.6899981791012249,11.006464220846642,0.0,0.0,1.0,3.75,0.1911045007046433,0.3977651682325407
plot_12551,0.558314474471639,18.75575475309528,0.0,0.0,1.0000000000000002,10.0,0.1319577764788963,0.270617919953103
plot_10383,0.5743985480167154,17.436982024674673,0.0,0.0,0.999999999995298,4.6,0.2022852066538658,0.4218866258974797
plot_12550,0.3825977870647234,16.94531032242068,0.0,0.0251343968065841,1.0,10.75,0.1285678438661821,0.2608866391470713
plot_10428,0.1794815489741902,49.42405793560664,0.0,0.0,0.9999999999999998,12.666666666666666,0.1526155759413892,0.2880576872771613
plot_16668,9.819004049988258e-05,17.375899636599964,0.0090616115721545,0.6683844713737642,0.9999999999999996,9.333333333333334,0.181601482744716,0.3549217082099153
plot_10391,0.3783219168774777,19.74440189426621,0.0,0.0,1.0,3.6,0.2389732475564887,0.5050283056810859
plot_10937,0.348289432700427,44.546315198228776,0.0,0.0,1.0000000000000002,3.25,0.2033376526310014,0.4258175197355586
plot_9005,0.0,0.0,0.0,0.0,0.0,6.0,0.1517631256427612,0.303999079206136
plot_11131,0.2379148949025301,67.90654995910485,0.0,0.1011442733769681,0.0,6.666666666666667,0.2022867213472491,0.3862034178087017
plot_11074,0.0,0.0,0.0,0.0,0.0,10.0,0.0934443524048411,0.1702012275663136
plot_11099,0.066606153139877,44.790761904792895,0.0339593746317309,0.894759461665935,0.0,4.0,0.3630597618722819,0.6622274503356125
plot_11098,0.0095485563647633,11.561806142859272,0.0,0.1416374699590689,0.0,9.6,0.1280620846122087,0.2429827658049083
plot_11216,0.6278831817058678,64.53355773525371,0.0,0.0,0.0,10.0,0.1316950196153723,0.263447329304002
plot_17486,0.1032306816617671,26.383902733382683,0.040091794734066,0.0,0.0,2.857142857142857,0.2196671446498868,0.4228276874446813
plot_11221,0.4016229969781693,76.40007961932244,0.0,0.0,0.0,5.0,0.1837183784267255,0.3773614659482789
plot_11498,0.3070035587353595,44.808699666515096,0.0,0.0,0.0,3.333333333333333,0.2277981210504708,0.479265022087466
plot_9763,0.3852618151516724,30.994488478397923,0.0,0.0,0.0,5.714285714285714,0.1546942802227088,0.31716597192348
plot_17664,0.7975331463412245,31.935090048239463,0.0,0.0,0.0,2.5,0.2130033280753081,0.447345256834018
plot_9764,0.1304883711688504,63.6645183731429,0.008423306742228,0.0,0.0,1.25,0.2698859391075217,0.5603322094394264
plot_11496,0.4454720743251115,22.845492751976938,0.0,0.0,0.9999999999999998,0.0,0.2611162330011027,0.556676806669117
plot_17739,0.4478925519888072,19.731740876572022,0.0,0.0,1.0,0.0,0.2449128223302022,0.5203578397461285
plot_11759,0.285437691380029,31.01537287260401,0.0067295176288442,0.0,1.0,0.6666666666666666,0.2370891033749656,0.4972006172453904
plot_11758,0.4551833790663505,16.822654300073026,0.0142504730865016,0.0,1.0,0.0,0.2675286298462825,0.5553151269403329
plot_18339,0.4630360645828559,27.27708299492309,0.0,0.0,1.0,0.8571428571428571,0.1743503906256054,0.3597069156759486
plot_19532,0.3649922097097148,19.618400238839605,0.0268466544603266,0.0,1.0,0.0,0.2551373396753765,0.5106917272909531
plot_16291,0.444977470740697,64.9365177728467,0.0062209152554137,0.0,1.0,0.0,0.257381243291973,0.5280139769316553
plot_18402,0.3956517435934902,54.82910733225409,0.0,0.0,0.9999999999999998,0.0,0.2021993010842954,0.417562669076212
plot_18875,0.2936743279485272,25.71234680440102,0.0008500676998148,0.0118665419905781,0.9999999999999998,0.0,0.3382624545605476,0.716604216738398
plot_18403,0.7152078292512001,34.45259722227076,0.0,0.0,0.9999999999999998,3.75,0.1900787201031973,0.3957744891182163
plot_7631,0.2878262463913552,80.74973804307541,0.0046801125366624,0.0,0.0,1.2,0.2448072268714187,0.4920970533619695
plot_9006,1.08308560114252,47.44052095431628,0.0,0.0,0.0,1.0,0.1987735663898568,0.4041961290144968
plot_7630,0.2916621587925464,98.93282462287256,0.0006146201573212,0.0,0.0,5.0,0.1647088089956429,0.3339180107076491
plot_7629,0.1371688901167473,77.25754897789963,0.0,0.0,0.0,0.0,0.1967218872864759,0.4032708923826449
plot_7518,0.5173560655539956,22.648899666632865,0.0,0.0,0.0,6.25,0.1804355521362504,0.3755176019694453
plot_7517,0.5005308197193392,22.489749846132938,0.0,0.0,0.0,3.75,0.1990127945036946,0.4165217933415435
plot_7628,0.2792558899651662,23.094628904278565,0.0,0.0,0.0,2.2222222222222223,0.2300507932486192,0.4833767010463143
plot_8980,0.6665786877545227,36.78563299994448,0.0936203357072396,0.0,0.0,0.0,0.2626117017474892,0.4822457427776786
plot_16709,0.4020909878216086,89.30896621028835,0.0012362661590324,0.0,0.0,1.4285714285714286,0.1945423233514768,0.4045270988478439
plot_11915,0.227240744699573,33.17560751243377,0.0,0.0,0.9967525273250888,1.25,0.2162838376870568,0.4552335837490152
plot_9757,0.9187604064940988,66.51165841553626,0.0,0.0,0.0,2.857142857142857,0.2493693200588775,0.5225801715594104
plot_9766,0.3952344308488956,70.25572781987813,0.0,0.0,0.0,5.0,0.2234546831178507,0.4674184208174461
plot_11033,0.3409373786681681,54.20920306368152,0.0,0.0,0.0,4.0,0.2335338078099273,0.494727717355394
plot_11032,0.5025103504152166,26.028831413016466,0.0,0.0,0.0,0.0,0.258434595104308,0.5468705030095733
plot_11222,0.475118992693797,29.48202820144888,0.0,0.0,0.0,1.1111111111111112,0.2430016891634779,0.514888198141062
plot_9819,0.1934218831532829,76.36410222971104,0.0079465266009028,0.0,0.0,2.2222222222222223,0.2886794851654206,0.6047389401718375
plot_9767,0.4215747144661238,45.1473827991864,0.0,0.0,0.0,3.75,0.2035386165494738,0.426299467332164
plot_9765,0.0,0.0,0.0,0.0,0.0,0.0,0.2254531049257626,0.4746427331683615
plot_11034,0.3099005235339915,80.11330276054463,0.0054679178671361,0.0,0.0,1.4285714285714286,0.1911274697747106,0.3949111078249177
plot_17523,0.4796598566943182,19.1501299917736,0.0197213427223027,0.0,0.0,1.25,0.2866007851742627,0.5916460893810149
plot_10995,0.4629894644245414,61.67415359587443,0.0,0.0,0.0,0.0,0.223847130203386,0.4720675393408578
plot_11257,0.5391922531943814,37.99618099992984,0.0062631249217102,0.0,0.0,0.0,0.2758462794728646,0.5827904632834194
plot_11035,0.0,0.0,0.0,0.0,0.0,0.0,0.2018782459525183,0.4219058481484534
plot_10994,0.2969034757068933,84.86234459763416,0.0197402681900173,0.0,0.0,0.0,0.2314539218008735,0.4734135898541499
plot_11029,0.065728786372861,38.7695039147439,0.0329776625204158,0.0,0.0,0.0,0.2715108402245347,0.5518097069328001
plot_11030,0.3206145252750862,62.58506184991708,0.0044095762594418,0.0,0.0,0.0,0.2448152872088804,0.5157565110278228
plot_11070,0.0926585221919397,37.041822856322106,0.008768574576346,0.0,0.0,3.333333333333333,0.2233162901891368,0.4643687658732694
plot_12120,0.0526314736987255,20.18964427318029,0.0,0.0,0.0,0.0,0.2204215736616653,0.4644833164703673
plot_19851,0.5861972433233246,33.29813190661184,0.0455533010975926,0.0,0.0,0.0,0.2410423368617855,0.4742831741009445
plot_11217,0.0,0.0,0.1484461866265917,0.0,0.0,0.0,0.4273720199507508,0.796274760497262
plot_10470,0.1627469048511858,30.28476641395081,0.0028069874216023,0.0,0.0,3.0,0.2259945278844009,0.4772143273040891
plot_10425,0.3001592692757583,23.364566333070368,0.0,0.0,0.0,0.0,0.2300691319690599,0.485773362709022
plot_10427,0.5392067380114405,52.34533905235569,0.0237859242596569,0.0,0.0,0.9090909090909092,0.2720904561718917,0.5620168652063413
plot_10426,0.3399535350616269,30.52574664418035,0.0,0.0,0.0,0.0,0.2491247756411342,0.5285612421654835
plot_11500,0.3113036444304737,52.5642516412952,0.0,0.0,1.0,0.0,0.2846776758764221,0.6085864649105677
plot_10437,0.4442133366718941,52.91728800007722,0.0,0.0,0.0,3.333333333333333,0.2834278342414401,0.6025057057217187
plot_10438,0.2954444081838072,92.15419755960497,0.0237131454295219,0.0,0.0,1.818181818181818,0.2879704126618977,0.5985906827024678
plot_10439,0.3410996175514062,19.32518141367797,0.0361043972112342,0.0,0.0,0.0,0.2749080163805311,0.5598962207534195
plot_9301,0.5146405317899729,20.10625962822576,0.0,0.0,0.9999999999999998,0.0,0.2326977593635905,0.4929870346968679
plot_11499,0.4163327003517478,21.73708808842446,0.0167330663521472,0.0,1.0000000000000002,0.0,0.2746095119431989,0.5728624415998831
plot_11031,0.5076420608739095,29.564654440726308,0.0160044658817025,0.0,0.0,0.0,0.2779934403371318,0.5736843780792863
plot_10436,0.4283320912789327,17.272549103072862,0.0,0.0,0.0,10.0,0.1398916708926107,0.2911029476625917
plot_11218,0.4141194207819951,66.70055105055323,0.0,0.0,0.0,2.5,0.2066346225141849,0.4333494805870777
plot_20026,0.5257988252713147,19.571254746981623,0.0212420071473317,0.0,0.0,0.0,0.2891868086093831,0.5972383052395933
plot_10435,0.5395097257071727,18.35193260723124,0.0,0.0,0.0,10.0,0.1500038701449481,0.3135194892109958
plot_10386,0.354512438708024,17.1283294177737,0.0,0.0,0.0,4.0,0.2279592343541542,0.4828271652314539
plot_10466,0.0522393992659135,16.948232999735186,0.0,0.0,0.0,4.444444444444445,0.2063415543812809,0.4346719726991428
