t_id,t_name,day_type,period,start_local,end_local,hour_range_inclusive_start,hour_range_exclusive_end
WD_AM,工作日·第一时段（晨—午前）,weekday,slice_q1,06:00,11:00,6,11
WD_PM,工作日·第二时段（午间）,weekday,slice_q2,11:00,15:00,11,15
WD_EVE,工作日·第三时段（午后—傍晚）,weekday,slice_q3,15:00,18:00,15,18
WD_NT,工作日·第四时段（晚间）,weekday,slice_q4,18:00,23:00,18,23
WE_AM,周末·第一时段（晨—午前）,weekend,slice_q1,06:00,11:00,6,11
WE_MD,周末·第二时段（午间）,weekend,slice_q2,11:00,15:00,11,15
WE_EVE,周末·第三时段（午后—傍晚）,weekend,slice_q3,15:00,19:00,15,19
WE_NT,周末·第四时段（晚间）,weekend,slice_q4,19:00,23:00,19,23
