unit_id,dim_station_city,dim_business_access,dim_public_stay,dim_slow_stitch,N_dim_station_city,N_dim_business_access,N_dim_public_stay,N_dim_slow_stitch,L_gateway,L_business,L_consumption,L_green_stitch,L_transition,fz_site_key,fz_site_zh,fz_site_margin
plot_11995,2.9183665165592134,-0.09398137492880254,2.997111418822136,0.7545203918431335,0.556927827166042,0.21518084225972944,0.9762502563836368,0.48865978293663664,0.5968305749758342,0.4260004478720191,0.692281668814568,0.6602661481750585,0.7016594132677867,transition,城市过渡区,0.013365094606483413
plot_12068,0.6407779552423876,-0.9684974360518779,1.6674505877928119,-2.2171794575240193,0.11429489047329762,0.029068239513927403,0.6973793575460925,0.1255969816718187,0.24529031462873577,0.17117488793378846,0.39999218017192684,0.33663047632662846,0.6224367484205522,transition,城市过渡区,0.357376984015977
plot_8231,0.29203915851469475,-1.1050848672546008,1.6958407763008556,-0.0027644900305883943,0.04652001648770603,0.0,0.7033336559676505,0.39613968181433745,0.21983080665623664,0.1797192218704223,0.41628686857591124,0.4751202244706709,0.7293911920030961,transition,城市过渡区,0.3486071260135792
plot_11994,3.7706446207683597,4.611996279337332,1.0993216317785375,-2.168517600682528,0.7225619397324082,1.0,0.5782251876088701,0.13154216825026194,0.7068656139755829,0.7865730267275169,0.6435310270240026,0.37702997637080315,0.26549990097091136,business,商务核心区,0.1013350444805058
plot_17062,4.300619540868922,3.2389605850036682,1.4066183944543726,2.7333377607636327,0.8255587492711713,0.924490288408859,0.6426747994327652,0.7304187133699203,0.7928884370612911,0.8386031266919668,0.7417586300163538,0.7125259220121878,0.47454798978944424,business,商务核心区,0.054512901420357564
plot_16703,1.9937692739488675,3.4140827051812774,0.6623945192218513,3.2659620968473306,0.3772390107987819,0.9617593964716221,0.4865880920716182,0.7954912621744512,0.5307025631068857,0.7861339392832201,0.6087027655600052,0.6713540555381782,0.5210435423497721,business,商务核心区,0.14600550601299594
plot_19199,1.4829845776640773,-0.5833893134452045,0.4072811053298059,2.792453619993527,0.2779716830758457,0.11102611109930752,0.43308293844344437,0.7376411014101366,0.30968276487868307,0.2642236074957362,0.37246514604893066,0.5659253233307722,0.6915093865887771,transition,城市过渡区,0.1816086166174892
plot_7640,1.9809333623649015,0.14540344500816935,1.0412477157367168,2.1979574972310933,0.374744443809802,0.26612619807067883,0.5660452957239136,0.6650094634211362,0.4175316235358544,0.38101181697901076,0.48225402489977964,0.5918594829907109,0.656614853550624,transition,城市过渡区,0.09862002071858482
plot_12021,5.003670280156918,5.0548574641578705,2.912785657377251,0.18342295872471626,0.9621915980044512,1.0,0.9585645425981966,0.41888684341608745,0.9409251087826682,0.91827103063814,0.9088598546274996,0.6805633486838583,0.4284186650318057,gateway,站城门户区,0.024076388130146523
plot_19184,4.132969057105751,1.3237754784362012,1.0984381119839122,-0.22323168429734686,0.7929770849502251,0.5169047668056098,0.5780398862496677,0.369204445688613,0.6683611360459745,0.5433137279488545,0.5738588413153426,0.47437483793929813,0.4351024645069818,gateway,站城门户区,0.14139406002616123
plot_17084,2.4511345385100265,-0.34731361483193157,0.3237295796946926,4.058778078762954,0.46612465662276376,0.16126722692001091,0.4155596057939634,0.8923523201117465,0.41992043974351734,0.33135295786466096,0.41964723864097003,0.6502568765399255,0.690839396059448,transition,城市过渡区,0.058743782841948027
plot_16705,5.131561039837235,1.8407249915111856,1.303395284080164,1.6552150143139142,0.987046246247168,0.6269208358564218,0.6210257285576168,0.5987007457842265,0.8113012679312988,0.6656883549808629,0.6747699817117137,0.6244112646609643,0.4623010490053345,gateway,站城门户区,0.16828678993616442
plot_16706,4.7831995863396655,0.06324309843295386,0.8889855734841419,1.7534339619208634,0.9193447062012209,0.24864101212226603,0.5341112269162801,0.6107004927516247,0.6868774607732941,0.4239572317501861,0.537517620796226,0.5722187714344161,0.5354744559722857,gateway,站城门户区,0.16692742988373296
plot_16702,2.7453237376106547,0.06463831422624836,0.5203375727419913,-1.569257505569146,0.523298209104038,0.2489379389075198,0.45679436766726156,0.20475583714229986,0.4413602815113837,0.3139734762960291,0.39331729119788905,0.31592309972616806,0.4536001539873332,transition,城市过渡区,0.02698383662653585
plot_16894,4.983989202241147,-0.936965607659138,0.9918923731669124,-2.5062769174381883,0.9583667222287757,0.035778774531397946,0.5556939576806462,0.09027694971861397,0.6482282118807072,0.24661384224441388,0.4505176611942075,0.29858911313335973,0.4152194708160631,gateway,站城门户区,0.30500145898908015
plot_11996,2.607118270997538,1.719643141933185,1.8329399975211098,-1.5728759603849718,0.4964389718418936,0.6011524604405404,0.7320875924297953,0.20431375806020022,0.5595932942475408,0.5645345212811278,0.6098794485233184,0.44036314581473446,0.46339412407974295,consumption,消费活力区,0.07435063974959677
plot_7453,0.07008385082944191,-0.6445753679916377,1.586549647830223,5.623592947037282,0.0033846006694674283,0.09800462828198887,0.6804119344877594,1.0,0.23950380906082092,0.29972298469168634,0.48588291425609254,0.7845721968290467,0.9019533340037862,transition,城市过渡区,0.13014103126992352
plot_7558,0.15365537595413026,-1.1050848672546008,3.64503742323127,4.8192288646895785,0.019626124805172174,0.0,1.0,0.985259210631443,0.3094685454302617,0.3005862402523938,0.6313224318902345,0.8931198345205572,1.0117502449371307,transition,城市过渡区,0.11725266279198424
plot_7451,1.2901484656335558,-0.04410192293885348,1.084373447596089,3.2523600663978853,0.24049537325493095,0.22579607855563233,0.5750900922058404,0.7938294552867481,0.3491648840483754,0.3585969215843195,0.4721175312990581,0.6544931314308635,0.7335881488853848,transition,城市过渡区,0.10781937721714703
plot_7452,-0.046020293716784955,-0.9483278834394484,1.2647733198193616,3.4610252103852908,0.0,0.033360679755787465,0.6129255110909235,0.8193227942989391,0.20020243984371958,0.22799452157059563,0.41618612268643684,0.6609611880353465,0.8387215979566642,transition,城市过渡区,0.21194209156225913
plot_16978,-0.12164481701405627,-0.5812292365996092,1.6606902163271582,0.06265908704638201,0.0,0.11148581394724423,0.6959614990794013,0.404132705459504,0.21426445655332949,0.23843076657883433,0.4308814561902279,0.4813035253259492,0.7135840364024679,transition,城市过渡区,0.3255124819244105
plot_7599,0.6462407589847711,-1.1050848672546008,-1.7406194263886667,1.4182196495387793,0.11535654704469755,0.0,0.0,0.5697462061659802,0.08847271477154174,0.08221233038528132,0.07997556473496245,0.3008822890880976,0.5615546075050681,transition,城市过渡区,0.46419763005937104
plot_7635,2.3255181880837825,1.9384763929993871,-1.643026166631432,-1.1434159386003575,0.44171202344127025,0.6477240761418608,0.0030702476263722157,0.25678236742314664,0.35988726617274586,0.4600519356387563,0.2385986894496596,0.19122545066422017,0.26108397089268054,business,商务核心区,0.2177246990803608
plot_7557,0.46685834318943253,-1.1050848672546008,1.9946455672174015,1.3648285467472456,0.08049486621125375,0.0,0.76600223932011,0.5632232313284508,0.261519051826302,0.21512657478238434,0.47234994982427486,0.5871767258808864,0.7955430299031115,transition,城市过渡区,0.26191707541663056
