unit_id,t_id,mob_state,p_R1,p_R2,p_R3,p_R4,p_R5,p_R6,p_R7,road_centrality,accessibility_index,population_density,traffic_intensity,congestion_proxy,barrier_index,bottleneck_index,stay_proxy
plot_10648,WD_AM,2,3.6271527190526165e-08,0.9999992667053277,8.9959466933034e-12,2.152089490431616e-23,0.0,6.970141483354567e-07,0.0,0.31450295698130365,0.37100735440224464,349.2984975179037,27224.890880947354,8562.308685551272,0.0,0.20200318198130365,0.0
plot_10648,WD_PM,2,3.8170284950922824e-08,0.9999992729667287,8.648916074316367e-12,2.29924328752215e-23,0.0,6.888543382822677e-07,0.0,0.31450295698130365,0.37100735440224464,349.2984975179037,27224.890880947354,8562.308685551272,0.0,0.20200318198130365,0.0
plot_10648,WD_EVE,2,3.769573517275091e-08,0.999999271491588,8.745609256722638e-12,2.2628014083899268e-23,0.0,6.908039320294368e-07,0.0,0.31450295698130365,0.37100735440224464,349.2984975179037,27224.890880947354,8562.308685551272,0.0,0.20200318198130365,0.0
plot_10648,WE_PM,2,3.691025402896263e-08,0.999999268924923,8.892891879017258e-12,2.2020381609255026e-23,0.0,6.94155930095379e-07,0.0,0.31450295698130365,0.37100735440224464,349.2984975179037,27224.890880947354,8562.308685551272,0.0,0.20200318198130365,0.0
plot_10810,WD_AM,5,2.1689709594428123e-32,4.96276585423723e-50,2.417196296139808e-68,1.115189288718446e-25,0.999997476933206,2.4964520958368467e-65,2.523066794201225e-06,0.31450295698130365,0.4027490979555197,62.357749938964844,0.0,0.0,0.0,0.20200284448130365,0.0
plot_10810,WD_PM,5,2.3013452848488695e-32,5.009668938654088e-50,2.341303550264938e-68,1.200284352104767e-25,0.9999973074051217,2.49152643184462e-65,2.6925948786872627e-06,0.31450295698130365,0.4027490979555197,62.357749938964844,0.0,0.0,0.0,0.20200284448130365,0.0
plot_10810,WD_EVE,5,2.2680253263106073e-32,4.997450836954106e-50,2.3622046648172595e-68,1.1790369254545894e-25,0.9999973497935262,2.4922213052622832e-65,2.6502064732976793e-06,0.31450295698130365,0.4027490979555197,62.357749938964844,0.0,0.0,0.0,0.20200284448130365,0.0
plot_10810,WE_PM,5,2.2132061279447385e-32,4.977874812872769e-50,2.3943153463303974e-68,1.1438546985664599e-25,0.9999974199108848,2.494091691351096e-65,2.5800891155486098e-06,0.31450295698130365,0.4027490979555197,62.357749938964844,0.0,0.0,0.0,0.20200284448130365,0.0
plot_10650,WD_AM,2,2.1256799802309063e-06,0.9999978726872994,9.850159036553972e-15,1.8234598950353643e-19,0.0,1.6327104162360803e-09,0.0,0.31450295698130365,0.4687936198880396,349.2984975179037,1232.4266760977948,387.6018338953958,0.0,0.21450305698130362,0.0
plot_10650,WD_PM,2,2.2422963417064817e-06,0.9999977560916906,9.559412482653661e-15,1.9577546428272454e-19,0.0,1.6119584254500617e-09,0.0,0.31450295698130365,0.4687936198880396,349.2984975179037,1232.4266760977948,387.6018338953958,0.0,0.21450305698130362,0.0
