unit_id,t_id,func_state,p_F0,p_F1,p_F2,p_F3,p_F4,p_F5,poi_density,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,service_accessibility,station_proximity
plot_10648,WD_AM,F2,0.0,0.0,1.0,0.0,0.0,0.0,0.1033785296244772,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WD_PM,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0947172156870868,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WD_EVE,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0807656775327474,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WD_NT,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.1102097738000117,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WE_AM,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.1033785296244772,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WE_MD,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0958944896178829,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WE_EVE,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0811581021763462,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10648,WE_NT,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.1117794723744066,0.5623351446168083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.9892427456852452,0.0210998889826445
plot_10810,WD_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.007542878880616,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0039171756323155,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WD_PM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0096000092628441,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0062780765768782,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WD_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0105579642180905,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0077253414245047,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WD_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0155493617459809,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.011684072344858,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WE_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0077526064027492,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0041269031544488,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WE_MD,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0100114061366206,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0066481839688781,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WE_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0106580857701493,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0078116998159714,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10810,WE_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0160115325195496,0.6853142072744584,0.0,0.0,0.0,0.0,0.0,0.0120911904760578,0.0,0.0,0.0,3.5,69257.0,UNKNOWN,0.94095703485732,0.0212035321570641
plot_10650,WD_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0393822154038624,2.280609666461384,4.3831051347277085e-05,5.786764470665324e-05,0.0159173716443371,0.0034477463286082,0.0054719620553779,0.0053043638274917,0.002492131731872,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035072,0.0218714094421127
plot_10650,WD_PM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0366992875007249,2.280609666461384,9.454826366833576e-05,9.17996033472056e-05,0.0129041577438665,0.002674611470498,0.0051171709599449,0.008501329893378,0.0012256259368384,0.0,0.0,3.5,69257.0,UNKNOWN,0.9054615338035072,0.0218714094421127
