,F0,F1,F2,F3,F4,F5
F0,0.8470796219487319,0.0,6.799483239273815e-05,0.010743183518052628,0.06541102876181411,0.07669817093900863
F1,0.0,0.8461940884122416,0.07742610515302119,0.0,0.07637980643473712,0.0
F2,0.0027548209366391185,0.2768595041322314,0.4201101928374656,0.0027548209366391185,0.1887052341597796,0.10881542699724518
F3,0.029154518950437316,0.0,0.0006727965911639381,0.8605068400986768,0.030500112132765194,0.07916573222695672
F4,0.3053827427644036,0.09385988639437381,0.03840952123343251,0.04517176088720584,0.46821747362726535,0.048958615093318905
F5,0.3631151457238414,0.0,0.050645007166746296,0.11132345914954611,0.0654562828475872,0.40946010511227904
