date,temperature_2m,apparent_temperature,rain,wind_speed_10m
20170508 09:00:00,16.2435,14.145084,1.6,16.29174
20170508 10:00:00,16.793499,14.877291,1.3,16.08761
20170508 11:00:00,17.3435,14.665731,0.2,20.991426
20170508 12:00:00,15.5435,13.144512,2.0,21.028437
20170508 13:00:00,16.2435,14.056229,2.5,19.134262
20170508 14:00:00,16.1935,15.092613,4.8,14.05845
20170508 15:00:00,16.9935,16.30622,4.7,16.418526
20170508 16:00:00,18.3435,18.243372,0.5,17.072504
20170508 17:00:00,18.9435,18.910278,0.4,16.179987
20170508 18:00:00,18.4935,18.90688,1.1,14.277983
20170508 19:00:00,18.3435,18.980003,2.4,13.783817
20170508 20:00:00,17.6935,18.726576,1.0,9.885262
20170508 21:00:00,17.8435,18.913649,0.2,10.514218
20170508 22:00:00,18.043499,19.20336,0.1,10.495713
20170508 23:00:00,17.9935,19.26554,0.2,9.726665
20170509 00:00:00,17.8435,19.198856,0.1,8.707237
20170509 01:00:00,17.9935,19.210855,0.4,9.504272
20170509 02:00:00,18.0935,18.88328,1.3,12.287555
20170509 03:00:00,18.1435,18.65343,0.1,14.05845
20170509 04:00:00,17.8435,18.02878,0.0,14.4
20170509 05:00:00,17.2435,17.178028,0.0,14.440443
20170509 06:00:00,17.6435,17.519115,0.0,14.84318
20170509 07:00:00,18.4435,17.231028,0.0,21.077686
20170509 08:00:00,18.793499,17.937832,0.0,18.899143
20170509 09:00:00,20.1435,17.658054,0.0,28.47643
20170509 10:00:00,20.5935,17.609198,0.0,30.608469
20170509 11:00:00,21.793499,18.21366,0.0,33.510952
20170509 12:00:00,20.543499,16.747257,0.0,32.761974
20170509 13:00:00,20.0935,16.590633,0.0,30.05515
20170509 14:00:00,20.9935,17.576754,0.0,32.55363
20170509 15:00:00,20.043499,16.823349,0.0,26.758923
20170509 16:00:00,20.793499,17.244007,0.0,27.811018
20170509 17:00:00,20.8435,18.53692,0.0,19.721298
20170509 18:00:00,19.4435,18.795204,0.0,10.829959
20170509 19:00:00,16.543499,16.25401,0.0,8.14587
20170509 20:00:00,15.893499,15.529963,0.0,8.654986
20170509 21:00:00,15.5435,15.504005,0.0,5.8603754
20170509 22:00:00,16.6435,16.698917,0.0,3.319036
20170509 23:00:00,14.143499,13.872328,0.0,6.439876
20170510 00:00:00,13.9435,13.396048,0.0,8.557102
20170510 01:00:00,13.6935,13.2380085,0.0,7.7043357
20170510 02:00:00,13.643499,13.31255,0.0,7.072878
20170510 03:00:00,13.8435,13.771278,0.0,5.8603754
20170510 04:00:00,14.143499,14.418539,0.0,4.510787
20170510 05:00:00,13.2435,12.813545,0.0,9.114471
20170510 06:00:00,14.9435,15.182186,0.0,5.937272
20170510 07:00:00,18.293499,18.870712,0.0,5.315336
20170510 08:00:00,22.1935,22.521904,0.0,10.630672
20170510 09:00:00,24.543499,25.200897,0.0,13.479583
20170510 10:00:00,26.3935,27.771969,0.0,15.03835
20170510 11:00:00,27.793499,29.385712,0.0,16.489416
20170510 12:00:00,28.8435,30.103367,0.0,17.287498
20170510 13:00:00,29.4935,30.545013,0.0,16.135872
20170510 14:00:00,29.793499,30.466179,0.0,16.563911
20170510 15:00:00,29.793499,29.496433,0.0,17.782686
20170510 16:00:00,29.1935,28.357616,0.0,15.716793
20170510 17:00:00,27.1435,27.236853,0.0,15.124284
20170510 18:00:00,23.4935,23.350933,0.0,16.62249
20170510 19:00:00,21.3935,21.306904,0.0,15.542662
20170510 20:00:00,20.3435,19.83373,0.0,14.408997
20170510 21:00:00,20.9935,20.574038,0.0,15.629972
20170510 22:00:00,20.6935,20.32343,0.0,15.158522
20170510 23:00:00,19.7435,19.675114,0.0,12.959999
20170511 00:00:00,19.1435,19.08836,0.0,12.605142
20170511 01:00:00,18.5935,18.572693,0.0,12.371645
20170511 02:00:00,19.1935,19.319899,0.0,12.43434
20170511 03:00:00,19.3435,19.60636,0.0,11.770403
20170511 04:00:00,18.6935,19.014416,0.0,10.966713
20170511 05:00:00,17.8435,17.831472,0.0,12.313893
20170511 06:00:00,19.0935,19.478878,0.0,10.931203
20170511 07:00:00,21.3435,22.089523,0.0,9.693296
20170511 08:00:00,24.3935,25.224459,0.0,10.514218
20170511 09:00:00,26.543499,28.198586,0.0,10.685391
20170511 10:00:00,28.3935,31.017628,0.0,10.587918
20170511 11:00:00,29.6935,33.023045,0.0,9.085988
20170511 12:00:00,30.793499,34.378338,0.0,9.227524
20170511 13:00:00,31.4435,34.77433,0.0,10.587917
20170511 14:00:00,31.4435,34.51418,0.0,11.874544
20170511 15:00:00,30.8935,33.262108,0.0,12.7279215
20170511 16:00:00,30.2435,31.26691,0.0,12.605142
20170511 17:00:00,28.7435,30.338017,0.0,10.853866
20170511 18:00:00,26.543499,29.078259,0.0,8.891343
20170511 19:00:00,24.4435,26.593826,0.0,10.691453
20170511 20:00:00,23.293499,25.873917,0.0,8.089993
20170511 21:00:00,23.6935,27.331818,0.0,2.0364676
20170511 22:00:00,22.5935,25.7069,1.9,5.991594
20170511 23:00:00,22.1935,25.093414,0.0,6.763786
20170512 00:00:00,21.4435,24.238163,0.0,7.145796
20170512 01:00:00,20.6435,23.092184,2.2,8.669949
20170512 02:00:00,20.293499,21.95557,0.5,11.901798
20170512 03:00:00,19.9935,20.191833,0.7,15.893093
20170512 04:00:00,19.6435,19.449709,0.7,17.709658
20170512 05:00:00,19.3935,19.924278,1.4,14.05845
20170512 06:00:00,18.9935,19.243189,1.9,16.135872
20170512 07:00:00,18.4935,18.19857,2.1,19.576189
20170512 08:00:00,18.6935,18.819946,6.0,15.807239
20170512 09:00:00,18.4935,17.6739,1.5,19.469976
20170512 10:00:00,18.4935,17.819004,2.0,19.586119
20170512 11:00:00,18.043499,17.693943,5.4,17.782688
20170512 12:00:00,18.5935,17.015806,2.7,22.782625
20170512 13:00:00,18.1935,17.163237,1.1,19.694992
20170512 14:00:00,18.4435,17.6733,0.2,17.114204
20170512 15:00:00,18.543499,18.16893,0.1,14.007655
20170512 16:00:00,18.4935,18.316515,0.0,12.522619
20170512 17:00:00,18.8435,19.276415,0.0,8.209263
20170512 18:00:00,18.3935,19.303013,0.0,5.8603754
20170512 19:00:00,16.543499,17.4947,0.0,5.4477882
20170512 20:00:00,17.3935,18.734842,0.0,2.9024127
20170512 21:00:00,15.9935,16.73291,0.0,6.638072
20170512 22:00:00,15.5435,16.146614,0.0,6.792466
20170512 23:00:00,15.4435,15.888515,0.0,7.491114
20170513 00:00:00,14.8435,15.1539135,0.0,7.653705
20170513 01:00:00,14.4935,14.659571,0.0,7.8954163
20170513 02:00:00,14.393499,14.576071,0.0,7.4128532
20170513 03:00:00,14.2435,14.334284,0.0,7.92
20170513 04:00:00,14.143499,14.204851,0.0,8.12197
20170513 05:00:00,13.9435,13.874882,0.0,8.891343
20170513 06:00:00,15.5935,15.906179,0.0,8.654987
20170513 07:00:00,18.1435,18.518166,0.0,10.464797
20170513 08:00:00,20.6935,20.889404,0.0,13.608762
20170513 09:00:00,22.9435,23.740036,0.0,14.336861
20170513 10:00:00,24.9435,26.826982,0.0,13.324863
20170513 11:00:00,26.543499,28.919746,0.0,13.392774
20170513 12:00:00,27.5935,30.052147,0.0,14.003028
20170513 13:00:00,28.3435,30.403137,0.0,15.696165
20170513 14:00:00,28.793499,30.227612,0.0,16.485485
20170513 15:00:00,28.793499,29.585007,0.0,15.683774
20170513 16:00:00,28.1435,28.272934,0.0,15.596767
20170513 17:00:00,26.6935,27.207455,0.0,13.397612
20170513 18:00:00,23.1935,23.852503,0.0,13.75558
20170513 19:00:00,20.1935,21.072393,0.0,11.5199995
20170513 20:00:00,19.4435,20.120287,0.0,11.885453
20170513 21:00:00,19.043499,20.079762,0.0,9.422101
20170513 22:00:00,18.8435,19.336168,0.0,12.57426
20170513 23:00:00,18.293499,19.281721,0.0,9.178235
20170514 00:00:00,18.1935,18.978174,0.0,11.440978
20170514 01:00:00,17.9935,19.906235,0.0,3.7064266
20170514 02:00:00,18.0935,20.15964,0.0,3.2399998
20170514 03:00:00,17.6935,19.643177,0.0,3.6
20170514 04:00:00,16.4935,17.709328,0.0,6.489992
20170514 05:00:00,16.2435,17.562044,0.0,5.506941
20170514 06:00:00,17.8435,20.006384,0.0,3.319036
20170514 07:00:00,20.293499,21.91557,0.0,10.24578
20170514 08:00:00,22.0935,23.249195,0.0,13.276144
20170514 09:00:00,23.4435,24.702602,0.0,14.84318
20170514 10:00:00,23.5935,24.967098,0.0,16.981165
20170514 11:00:00,23.293499,24.438524,0.0,16.923828
20170514 12:00:00,23.3435,24.750412,0.0,17.873556
20170514 13:00:00,23.543499,25.006845,0.0,17.25373
20170514 14:00:00,23.3435,24.170647,0.0,17.418196
20170514 15:00:00,22.8435,23.074333,0.0,19.164717
20170514 16:00:00,21.9435,21.468918,0.0,19.33639
20170514 17:00:00,20.9435,20.710318,0.0,17.399586
20170514 18:00:00,19.7435,19.890654,0.0,14.512064
20170514 19:00:00,18.1935,18.417896,0.0,12.864649
20170514 20:00:00,17.6435,17.757689,0.0,11.983188
20170514 21:00:00,17.3435,17.645613,0.0,10.829958
20170514 22:00:00,16.9435,17.253775,0.0,10.239453
20170514 23:00:00,17.1435,17.558521,0.0,9.3876505
20170515 00:00:00,16.8435,17.198912,0.0,9.007196
20170515 01:00:00,16.7435,17.072401,0.0,8.669949
20170515 02:00:00,16.3435,16.65143,0.0,7.92
20170515 03:00:00,15.9435,15.996214,0.0,8.669949
20170515 04:00:00,15.9435,15.784227,0.0,9.3876505
20170515 05:00:00,15.9935,15.636757,0.0,9.779817
20170515 06:00:00,17.1435,17.039188,0.0,8.4042845
20170515 07:00:00,18.293499,17.82697,0.0,11.367109
20170515 08:00:00,19.6435,17.775373,0.0,15.328561
20170515 09:00:00,20.0935,18.162533,0.0,14.118243
20170515 10:00:00,20.9435,18.973862,0.0,13.1041975
20170515 11:00:00,21.293499,18.995653,0.0,14.404499
20170515 12:00:00,21.2435,19.005438,0.0,15.137133
20170515 13:00:00,21.2435,19.41948,0.0,15.986595
20170515 14:00:00,21.0935,19.148502,0.0,15.124284
20170515 15:00:00,20.793499,18.886845,0.0,13.849476
20170515 16:00:00,19.8435,17.994799,0.0,14.77755
20170515 17:00:00,19.043499,17.77092,0.0,12.964998
20170515 18:00:00,18.2435,17.338753,0.0,12.015589
20170515 19:00:00,17.543499,16.747818,0.0,11.384199
20170515 20:00:00,16.9435,16.538921,0.0,10.105681
20170515 21:00:00,17.293499,16.9273,0.0,10.08
20170515 22:00:00,17.2435,17.115374,0.0,8.209263
20170515 23:00:00,16.8435,16.849339,0.0,7.172949
