x_km_from_south,rho_km2_combined,rho_km2_combined_smooth,rho_km2_消费,rho_km2_消费_smooth,rho_km2_商务,rho_km2_商务_smooth,rho_km2_娱乐,rho_km2_娱乐_smooth,green_cover_frac,green_cover_pct_smooth,bin_center_n_m
0.059357266667764634,3031.808247161918,3654.034016642846,1522.0914873506772,2016.5737292360345,1311.7211191802585,1425.3469287761932,197.9956406309824,212.1133586306183,0.2913155733066155,21.638902884348532,3454979.3893669927
0.1780718000032939,5099.400332220506,3861.7461058775466,2929.4427440415675,2183.072703708452,1973.3051817502226,1459.9175293265548,196.65240642871635,218.7558728425397,0.06523799037265444,19.505589585736686,3455098.1039003283
0.2967863333383575,3949.9534845289304,4073.9619896613576,2614.6924126092567,2350.913543128497,1088.6797589867724,1497.395935714978,246.58131293290143,225.65251081788173,0.19229173742060243,17.761296952612597,3455216.8184336633
0.41550086667388675,4178.550810078232,4277.693254687336,2401.1344603210546,2508.0474462273196,1539.4660879235591,1538.2982198864945,237.95026183361801,231.34758857352145,0.018314378116717808,16.596030211801963,3455335.532966999
0.5342154000089504,3498.0762766775947,4460.760171317755,1799.0106565770488,2644.122300195467,1480.4358528081964,1582.3380353167574,218.62976729234967,234.29983580553028,0.13375268672388566,15.960968296507088,3455454.247500334
0.6529299333444797,5422.657764631389,4610.790679149624,3305.9435060344567,2750.017379044277,1769.6186409237798,1627.3259012659985,347.09561767315296,233.44739883934966,0.24472324282905308,15.60649115249102,3455572.9620336695
0.771644466680009,6346.23153082938,4716.6979250316235,4496.123332537426,2818.5445454895603,1636.865207904407,1669.4772515698123,213.2429903875466,228.67612797225058,0.2311887109834753,15.229703932574104,3455691.676567005
0.8903590000155381,4161.829724021127,4772.418833574875,2067.5523030601157,2846.2710789438797,1865.8991407170024,1705.2186621463977,228.3782802440081,220.9290924845979,0.15125210278379564,14.628099888534408,3455810.3911003405
1.0090735333506018,3631.5551776685543,4780.167220853416,1834.2948167947948,2835.0769945854936,1625.1590657113027,1733.1878304352113,172.10129516245698,211.90239583271037,0.09294220447642414,13.763269973383096,3455929.1056336756
1.127788066686131,6358.57136215684,4750.76855571332,3980.326361287537,2792.507054215351,2173.258193262995,1754.7373221701985,204.98680760630816,203.52417932777024,0.07646003156140152,12.720928163452859,3456047.820167011
1.2465026000211947,5063.2430200735025,4702.359891150316,3514.715357520439,2732.371662287934,1329.0791709455436,1772.502596994189,219.44849160751986,197.48563186819143,0.23137444212878885,11.630229941756477,3456166.534700346
1.365217133356724,3954.850406636602,4655.665446403509,2084.1243948236256,2673.274805225238,1735.1083478435924,1787.5229837869128,135.61766396938424,194.8676573913578,0.04944140079111465,10.60560070769169,3456285.2492336817
1.4839316666922533,3985.9722233090583,4625.468208313207,1876.2747108047101,2632.561897919784,1942.9669398617496,1797.105984909601,166.73057264259864,195.80032548382218,0.032694489119035,9.729218882406933,3456403.9637670172
1.6026462000277826,4011.6976302576363,4610.504127881141,1986.990407465214,2616.3558961724793,1822.4079405828493,1794.9731593741972,202.2992822095731,199.1750723344648,0.17963802738815432,9.050207565486833,3456522.6783003528
1.721360733362846,5127.531434366814,4589.444488979274,2872.4113849621026,2612.6353268039397,2092.6749611001346,1774.103402718711,162.44508830457667,202.70575945662335,2.7400366808544272e-06,8.575160935410045,3456641.392833688
1.8400752666983753,5019.885827452229,4528.768766438853,2991.315150182692,2594.5478369633365,1769.8938794969113,1730.574387793008,258.6767977726255,203.64654168250811,0.06594029484481666,8.26434202183078,3456760.1073670234
1.9587898000339046,5608.339794143298,4400.899636977641,3435.722658785695,2534.595067982288,1853.0590014364232,1666.297143398722,319.5581339211791,200.00742559663013,0.12147630513026617,8.041806957895972,3456878.821900359
2.0775043333689682,5072.659434801822,4201.499163237893,3210.796910800365,2420.928005263053,1632.0440729171978,1588.913412508019,229.81845108425847,191.65774546682098,0.09106011741986658,7.83305138772535,3456997.536433694
2.1962188667044975,2719.873645650781,3955.4444709603968,1397.1875154017287,2265.823994510312,1201.1915636923804,1509.1158894591558,121.49456655667205,180.50458699092937,0.07838217377329303,7.603394026801868,3457116.2509670295
2.314933400040027,4263.567857953068,3707.4308567236276,2614.6742112308866,2101.2677659910605,1520.2437028570437,1436.7175866194582,128.64994386513717,169.4455041131087,0.08550405992141073,7.369828935907371,3457234.965500365
