unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_10648,0.0,0.0,0,245.74853276980335,0.0
plot_10810,0.0,0.0,0,1459.7903763580453,0.0
plot_10650,73.98420715332031,73.98420715332031,1,3822.0989932432176,19356.957337868815
plot_10846,0.0,0.0,0,672.7404461193133,0.0
plot_10849,62.357749938964844,62.357749938964844,1,703.6282457835545,88623.14768152006
plot_10847,0.0,0.0,0,162.70854722041736,0.0
plot_10605,0.0,0.0,0,106.7160637346954,0.0
plot_10646,0.0,0.0,0,864.2059771027428,0.0
plot_10604,0.0,0.0,0,4484.314442673581,0.0
plot_10552,65.85563659667969,65.85563659667969,1,5072.573586948349,12982.68728247239
plot_10499,0.0,0.0,0,3442.396120593801,0.0
plot_10500,158.42804718017578,79.21402359008789,2,6772.335764000705,23393.412952488587
plot_10549,0.0,0.0,0,1572.5514569026254,0.0
plot_19877,0.0,0.0,0,2212.106589378763,0.0
plot_11486,0.0,0.0,0,334.2298818102904,0.0
plot_10346,73.95763397216797,73.95763397216797,1,7776.957497111187,9509.841605748794
plot_10551,0.0,0.0,0,2443.2930819946228,0.0
plot_11760,87.04576110839844,87.04576110839844,1,2306.2702396649966,37743.088217208446
plot_10938,72.66160583496094,72.66160583496094,1,7204.450986461794,10085.654822484408
plot_10550,0.0,0.0,0,2598.163946749474,0.0
plot_10384,0.0,0.0,0,237.4827717264018,0.0
plot_12551,0.0,0.0,0,387.4396586859813,0.0
plot_10383,0.0,0.0,0,1558.7812279031843,0.0
plot_12550,87.79673767089844,87.79673767089844,1,2796.785096314548,31392.021427242384
plot_10428,0.0,0.0,0,1074.849504505637,0.0
plot_16668,0.0,0.0,0,5885.645305189856,0.0
plot_10391,0.0,0.0,0,1271.6558377850354,0.0
plot_10937,53.43830490112305,53.43830490112305,1,3251.1813891457327,16436.580585608077
plot_9005,83.92750549316406,83.92750549316406,1,3803.9360774599227,22063.332239065025
plot_11131,145.28527069091797,72.64263534545898,2,20522.254640915977,7079.40103234356
plot_11074,0.0,0.0,0,137.00250218170606,0.0
plot_11099,294.1009521484375,73.52523803710938,4,28118.632468076798,10459.290738350506
plot_11098,0.0,0.0,0,4074.035845178028,0.0
plot_11216,0.0,0.0,0,2412.5767864359814,0.0
plot_17486,0.0,0.0,0,1508.0342808814032,0.0
plot_11221,315.2209777832031,315.2209777832031,1,3177.119031465429,99215.97984253336
plot_11498,0.0,0.0,0,962.9434388903186,0.0
plot_9763,314.4846496582031,314.4846496582031,1,9668.985074250138,32525.094127585304
plot_17664,0.0,0.0,0,1295.1738150789972,0.0
plot_9764,379.04834747314453,189.52417373657227,2,16922.697120730125,22398.814135177916
plot_11496,0.0,0.0,0,4218.086646702558,0.0
plot_17739,68.50476837158203,68.50476837158203,1,3665.976864282425,18686.634124460328
plot_11759,0.0,0.0,0,1355.8315484194532,0.0
plot_11758,0.0,0.0,0,910.7013742609906,0.0
plot_18339,0.0,0.0,0,2987.6283241622987,0.0
plot_19532,0.0,0.0,0,3577.293145301062,0.0
plot_16291,0.0,0.0,0,1642.057464317624,0.0
plot_18402,0.0,0.0,0,533.0334322003642,0.0
plot_18875,789.7731285095215,71.79755713722922,11,84548.22998315074,9341.095948039503
plot_18403,0.0,0.0,0,1219.5267743325874,0.0
plot_7631,252.0117950439453,84.00393168131511,3,25114.67769778098,10034.442730125578
plot_9006,0.0,0.0,0,378.4252321962084,0.0
plot_7630,144.42958068847656,72.21479034423828,2,16979.67450722152,8506.027640697714
plot_7629,150.06211853027344,75.03105926513672,2,10911.085888913542,13753.17911141617
plot_7518,73.3310546875,73.3310546875,1,1293.931203825026,56673.070771246596
plot_7517,0.0,0.0,0,5698.570259174608,0.0
plot_7628,79.05091857910156,79.05091857910156,1,8544.081711129904,9252.125769832737
plot_8980,0.0,0.0,0,993.5080288342645,0.0
plot_16709,72.87619018554688,72.87619018554688,1,5479.974263381872,13298.637307937388
plot_11915,73.89177703857422,73.89177703857422,1,4370.921628643106,16905.308151570072
plot_9757,72.93623352050781,72.93623352050781,1,4299.4535740224765,16964.07049518859
plot_9766,0.0,0.0,0,1685.8314895233466,0.0
plot_11033,325.8758544921875,325.8758544921875,1,4076.934599678586,79931.58745246456
plot_11032,0.0,0.0,0,1266.6722436655164,0.0
plot_11222,0.0,0.0,0,781.0580171539842,0.0
plot_9819,74.15545654296875,74.15545654296875,1,7057.941768746495,10506.66879561673
plot_9767,0.0,0.0,0,608.6855075654183,0.0
plot_9765,0.0,0.0,0,467.4430148463271,0.0
plot_11034,0.0,0.0,0,3239.8911928495377,0.0
plot_17523,315.2086486816406,315.2086486816406,1,4656.996100986235,67684.97156673319
plot_10995,0.0,0.0,0,2681.7872667193,0.0
plot_11257,300.4233703613281,300.4233703613281,1,6990.653855693011,42975.00299155436
plot_11035,0.0,0.0,0,677.1717801652457,0.0
plot_10994,320.0246276855469,320.0246276855469,1,3705.414019219118,86366.76658145455
plot_11029,402.5151672363281,201.25758361816406,2,10880.18254547558,36995.25863228372
plot_11030,0.0,0.0,0,3540.809347213571,0.0
plot_11070,76.86579132080078,76.86579132080078,1,9371.503393749044,8202.076880436452
plot_12120,0.0,0.0,0,1043.1325639378765,0.0
plot_19851,0.0,0.0,0,1471.1628303554908,0.0
